y_1_25,y_2_25,y_3_25,y_4_25,y_5_25,y_6_25,y_7_25,y_8_25,y_mc_hu_25,y_mc_lu_25,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_mc_hu,y_mc_lu
2.4641,2.4838,0,0,0,0,0,0,0,0,2.4963,2.4883,0,0,0,0,0,0,0,0
2.3809,2.3849,0,0,0,0,0,0,0,0,2.4048,2.3828,0,0,0,0,0,0,0,0
2.3284,2.3336,0,0,0,0,0,0,0,0,2.3003,2.3423,0,0,0,0,0,0,0,0
2.304,2.2977,0,0,0,0,0,0,0,0,2.2783,2.3226,0,0,0,0,0,0,0,0
2.3058,2.2921,0,0,0,0,0,0,0,0,2.2714,2.298,0,0,0,0,0,0,0,0
2.2878,2.2527,0,0,0,0,0,0,0,0,2.2697,2.3174,0,0,0,0,0,0,0,0
2.3087,2.25,0,0,0,0,0,0,0,0,2.2595,2.3288,0,0,0,0,0,0,0,0
2.2942,2.2571,0,0,0,0,0,0,0,0,2.2563,2.3165,0,0,0,0,0,0,0,0
2.2836,2.2901,0,0,0,0,0,0,0,0,2.2623,2.3385,0,0,0,0,0,0,0,0
2.2947,2.2858,0,0,0,0,0,0,0,0,2.2418,2.3467,0,0,0,0,0,0,0,0
2.2912,2.2721,0,0,0,0,0,0,0,0,2.2568,2.3324,0,0,0,0,0,0,0,0
2.2947,2.2582,0,0,0,0,0,0,0,0,2.2565,2.3564,0,0,0,0,0,0,0,0
2.2941,2.2466,0,0,0,0,0,0,0,0,2.2347,2.3701,0,0,0,0,0,0,0,0
2.2867,2.2664,0,0,0,0,0,0,0,0,2.2319,2.3543,0,0,0,0,0,0,0,0
2.2906,2.2921,0,0,0,0,0,0,0,0,2.2319,2.325,0,0,0,0,0,0,0,0
2.3102,2.2893,0,0,0,0,0,0,0,0,2.2117,2.3219,0,0,0,0,0,0,0,0
2.3207,2.293,0,0,0,0,0,0,0,0,2.2266,2.3515,0,0,0,0,0,0,0,0
2.3038,2.2878,0,0,0,0,0,0,0,0,2.2471,2.3647,0,0,0,0,0,0,0,0
2.3049,2.3022,0,0,0,0,0,0,0,0,2.2434,2.3491,0,0,0,0,0,0,0,0
2.2955,2.3143,0,0,0,0,0,0,0,0,2.2309,2.3828,0,0,0,0,0,0,0,0
2.3126,2.3149,0,0,0,0,0,0,0,0,2.2088,2.3823,0,0,0,0,0,0,0,0
2.3093,2.3203,0,0,0,0,0,0,0,0,2.2438,2.3614,0,0,0,0,0,0,0,0
2.2936,2.3333,0,0,0,0,0,0,0,0,2.2395,2.3374,0,0,0,0,0,0,0,0
2.3042,2.3235,0,0,0,0,0,0,0,0,2.2221,2.3624,0,0,0,0,0,0,0,0
2.2884,2.3272,0,0,0,0,0,0,0,0,2.2436,2.3499,0,0,0,0,0,0,0,0
2.2819,2.3461,0,0,0,0,0,0,0,0,2.2593,2.3544,0,0,0,0,0,0,0,0
2.2902,2.3633,0,0,0,0,0,0,0,0,2.2896,2.3458,0,0,0,0,0,0,0,0
2.2772,2.3515,0,0,0,0,0,0,0,0,2.2994,2.3721,0,0,0,0,0,0,0,0
2.2873,2.3614,0,0,0,0,0,0,0,0,2.2758,2.3529,0,0,0,0,0,0,0,0
2.3009,2.3662,0,0,0,0,0,0,0,0,2.2845,2.3424,0,0,0,0,0,0,0,0
2.3231,2.3597,0,0,0,0,0,0,0,0,2.3142,2.3402,0,0,0,0,0,0,0,0
2.3421,2.3441,0,0,0,0,0,0,0,0,2.2962,2.3376,0,0,0,0,0,0,0,0
2.3262,2.3587,0,0,0,0,0,0,0,0,2.3112,2.3592,0,0,0,0,0,0,0,0
2.3085,2.3436,0,0,0,0,0,0,0,0,2.3061,2.3875,0,0,0,0,0,0,0,0
2.3182,2.3339,0,0,0,0,0,0,0,0,2.3214,2.3832,0,0,0,0,0,0,0,0
2.339,2.3583,0,0,0,0,0,0,0,0,2.3166,2.3835,0,0,0,0,0,0,0,0
2.3186,2.3631,0,0,0,0,0,0,0,0,2.3097,2.4049,0,0,0,0,0,0,0,0
2.3318,2.3487,0,0,0,0,0,0,0,0,2.3045,2.4125,0,0,0,0,0,0,0,0
2.359,2.3372,0,0,0,0,0,0,0,0,2.3126,2.3964,0,0,0,0,0,0,0,0
2.3742,2.326,0,0,0,0,0,0,0,0,2.3251,2.4396,0,0,0,0,0,0,0,0
2.3915,2.3287,0,0,0,0,0,0,0,0,2.3196,2.4108,0,0,0,0,0,0,0,0
2.3701,2.34,0,0,0,0,0,0,0,0,2.3096,2.4021,0,0,0,0,0,0,0,0
2.3644,2.3556,0,0,0,0,0,0,0,0,2.3093,2.3878,0,0,0,0,0,0,0,0
2.35,2.3615,0,0,0,0,0,0,0,0,2.304,2.3917,0,0,0,0,0,0,0,0
2.3662,2.3681,0,0,0,0,0,0,0,0,2.322,2.3814,0,0,0,0,0,0,0,0
2.3701,2.356,0,0,0,0,0,0,0,0,2.3331,2.3788,0,0,0,0,0,0,0,0
2.3678,2.3722,0,0,0,0,0,0,0,0,2.3143,2.4219,0,0,0,0,0,0,0,0
2.3649,2.3568,0,0,0,0,0,0,0,0,2.3199,2.4096,0,0,0,0,0,0,0,0
