x_fit,y_fit
0,0.61202
0.001,0.6121
0.002,0.61218
0.003,0.61226
0.004,0.61234
0.005,0.61242
0.006,0.6125
0.007,0.61257
0.008,0.61265
0.009,0.61273
0.01,0.61281
0.011,0.61289
0.012,0.61296
0.013,0.61304
0.014,0.61312
0.015,0.6132
0.016,0.61327
0.017,0.61335
0.018,0.61343
0.019,0.6135
0.02,0.61358
0.021,0.61365
0.022,0.61373
0.023,0.6138
0.024,0.61388
0.025,0.61395
0.026,0.61402
0.027,0.6141
0.028,0.61417
0.029,0.61424
0.03,0.61432
0.031,0.61439
0.032,0.61446
0.033,0.61453
0.034,0.6146
0.035,0.61467
0.036,0.61474
0.037,0.61481
0.038,0.61488
0.039,0.61495
0.04,0.61501
0.041,0.61508
0.042,0.61515
0.043,0.61522
0.044,0.61528
0.045,0.61535
0.046,0.61542
0.047,0.61548
0.048,0.61555
0.049,0.61561
0.05,0.61568
0.051,0.61575
0.052,0.61581
0.053,0.61587
0.054,0.61594
0.055,0.616
0.056,0.61607
0.057,0.61613
0.058,0.6162
0.059,0.61626
0.06,0.61632
0.061,0.61639
0.062,0.61645
0.063,0.61651
0.064,0.61657
0.065,0.61664
0.066,0.6167
0.067,0.61676
0.068,0.61682
0.069,0.61689
0.07,0.61695
0.071,0.61701
0.072,0.61707
0.073,0.61714
0.074,0.6172
0.075,0.61726
0.076,0.61732
0.077,0.61738
0.078,0.61744
0.079,0.61751
0.08,0.61757
0.081,0.61763
0.082,0.61769
0.083,0.61775
0.084,0.61782
0.085,0.61788
0.086,0.61794
0.087,0.618
0.088,0.61807
0.089,0.61813
0.09,0.61819
0.091,0.61825
0.092,0.61832
0.093,0.61838
0.094,0.61844
0.095,0.6185
0.096,0.61857
0.097,0.61863
0.098,0.61869
0.099,0.61876
0.1,0.61882
0.101,0.61889
0.102,0.61895
0.103,0.61902
0.104,0.61908
0.105,0.61915
0.106,0.61921
0.107,0.61928
0.108,0.61934
0.109,0.61941
0.11,0.61947
0.111,0.61954
0.112,0.61961
0.113,0.61967
0.114,0.61974
0.115,0.61981
0.116,0.61988
