pcorrect_x_fit,pcorrect_y_fit
0,0.5
0.0512,0.5005
0.1024,0.50115
0.1536,0.50189
0.2048,0.50267
0.256,0.5035
0.3072,0.50437
0.3584,0.50527
0.4096,0.50619
0.4608,0.50713
0.512,0.5081
0.5632,0.50909
0.6144,0.51009
0.6656,0.51111
0.7168,0.51214
0.768,0.51319
0.8192,0.51425
0.8704,0.51533
0.9216,0.51641
0.9728,0.51751
1.024,0.51861
1.0752,0.51973
1.1264,0.52085
1.1776,0.52199
1.2288,0.52313
1.28,0.52427
1.3312,0.52543
1.3824,0.52659
1.4336,0.52776
1.4848,0.52893
1.536,0.53011
1.5872,0.5313
1.6384,0.53249
1.6896,0.53368
1.7408,0.53489
1.792,0.53609
1.8432,0.5373
1.8944,0.53851
1.9456,0.53973
1.9968,0.54095
2.048,0.54218
2.0992,0.5434
2.1504,0.54464
2.2016,0.54587
2.2528,0.54711
2.304,0.54835
2.3552,0.54959
2.4064,0.55083
2.4576,0.55208
2.5088,0.55333
2.56,0.55458
2.6112,0.55583
2.6624,0.55709
2.7136,0.55834
2.7648,0.5596
2.816,0.56086
2.8672,0.56212
2.9184,0.56338
2.9696,0.56465
3.0208,0.56591
3.072,0.56718
3.1232,0.56844
3.1744,0.56971
3.2256,0.57098
3.2768,0.57224
3.328,0.57351
3.3792,0.57478
3.4304,0.57605
3.4816,0.57732
3.5328,0.57859
3.584,0.57986
3.6352,0.58113
3.6864,0.5824
3.7376,0.58367
3.7888,0.58494
3.84,0.58621
3.8912,0.58748
3.9424,0.58875
3.9936,0.59002
4.0448,0.59128
4.096,0.59255
4.1472,0.59382
4.1984,0.59509
4.2496,0.59635
4.3008,0.59762
4.352,0.59888
4.4032,0.60015
4.4544,0.60141
4.5056,0.60267
4.5568,0.60393
4.608,0.60519
4.6592,0.60645
4.7104,0.60771
4.7616,0.60897
4.8128,0.61022
4.864,0.61148
4.9152,0.61273
4.9664,0.61399
5.0176,0.61524
5.0688,0.61649
5.12,0.61774
5.1712,0.61898
5.2224,0.62023
5.2736,0.62147
5.3248,0.62272
5.376,0.62396
5.4272,0.6252
5.4784,0.62644
5.5296,0.62767
5.5808,0.62891
5.632,0.63014
5.6832,0.63137
5.7344,0.6326
5.7856,0.63383
5.8368,0.63506
5.888,0.63628
5.9392,0.6375
5.9904,0.63872
6.0416,0.63994
6.0928,0.64116
6.144,0.64238
6.1952,0.64359
6.2464,0.6448
6.2976,0.64601
6.3488,0.64722
6.4,0.64842
6.4512,0.64963
6.5024,0.65083
6.5536,0.65203
6.6048,0.65322
6.656,0.65442
6.7072,0.65561
6.7584,0.6568
6.8096,0.65799
6.8608,0.65918
6.912,0.66036
6.9632,0.66154
7.0144,0.66272
7.0656,0.6639
7.1168,0.66508
7.168,0.66625
7.2192,0.66742
7.2704,0.66859
7.3216,0.66975
7.3728,0.67092
7.424,0.67208
7.4752,0.67324
7.5264,0.67439
7.5776,0.67555
7.6288,0.6767
7.68,0.67785
7.7312,0.67899
7.7824,0.68014
7.8336,0.68128
7.8848,0.68242
7.936,0.68356
7.9872,0.68469
8.0384,0.68582
8.0896,0.68695
8.1408,0.68808
8.192,0.6892
8.2432,0.69032
8.2944,0.69144
8.3456,0.69256
8.3968,0.69367
8.448,0.69478
8.4992,0.69589
8.5504,0.697
8.6016,0.6981
8.6528,0.6992
8.704,0.7003
8.7552,0.7014
8.8064,0.70249
8.8576,0.70358
8.9088,0.70467
8.96,0.70576
9.0112,0.70684
9.0624,0.70792
9.1136,0.709
9.1648,0.71007
9.216,0.71114
9.2672,0.71221
9.3184,0.71328
9.3696,0.71434
9.4208,0.7154
9.472,0.71646
9.5232,0.71752
9.5744,0.71857
9.6256,0.71962
9.6768,0.72067
9.728,0.72171
9.7792,0.72275
9.8304,0.72379
9.8816,0.72483
9.9328,0.72586
9.984,0.7269
10.035,0.72792
10.086,0.72895
10.138,0.72997
10.189,0.73099
10.24,0.73201
10.291,0.73302
10.342,0.73404
10.394,0.73505
10.445,0.73605
10.496,0.73706
10.547,0.73806
10.598,0.73905
10.65,0.74005
10.701,0.74104
10.752,0.74203
10.803,0.74302
10.854,0.744
10.906,0.74499
10.957,0.74596
11.008,0.74694
11.059,0.74791
11.11,0.74888
11.162,0.74985
11.213,0.75082
11.264,0.75178
11.315,0.75274
11.366,0.75369
11.418,0.75465
11.469,0.7556
11.52,0.75655
11.571,0.75749
11.622,0.75843
11.674,0.75937
11.725,0.76031
11.776,0.76125
11.827,0.76218
11.878,0.76311
11.93,0.76403
11.981,0.76496
12.032,0.76588
12.083,0.76679
12.134,0.76771
12.186,0.76862
12.237,0.76953
12.288,0.77044
12.339,0.77134
12.39,0.77224
12.442,0.77314
12.493,0.77404
12.544,0.77493
12.595,0.77582
12.646,0.77671
12.698,0.77759
12.749,0.77847
12.8,0.77935
12.851,0.78023
12.902,0.7811
12.954,0.78197
13.005,0.78284
13.056,0.78371
13.107,0.78457
13.158,0.78543
13.21,0.78629
13.261,0.78714
13.312,0.78799
13.363,0.78884
13.414,0.78969
13.466,0.79053
13.517,0.79138
13.568,0.79221
13.619,0.79305
13.67,0.79388
13.722,0.79471
13.773,0.79554
13.824,0.79637
13.875,0.79719
13.926,0.79801
13.978,0.79883
14.029,0.79964
14.08,0.80045
14.131,0.80126
14.182,0.80207
14.234,0.80287
14.285,0.80367
14.336,0.80447
14.387,0.80527
14.438,0.80606
14.49,0.80685
14.541,0.80764
14.592,0.80842
14.643,0.80921
14.694,0.80999
14.746,0.81076
14.797,0.81154
14.848,0.81231
14.899,0.81308
14.95,0.81385
15.002,0.81461
15.053,0.81537
15.104,0.81613
15.155,0.81689
15.206,0.81765
15.258,0.8184
15.309,0.81915
15.36,0.81989
15.411,0.82064
15.462,0.82138
15.514,0.82212
15.565,0.82285
15.616,0.82359
15.667,0.82432
15.718,0.82505
15.77,0.82577
15.821,0.8265
15.872,0.82722
15.923,0.82794
15.974,0.82865
16.026,0.82937
16.077,0.83008
16.128,0.83079
16.179,0.8315
16.23,0.8322
16.282,0.8329
16.333,0.8336
16.384,0.8343
16.435,0.83499
16.486,0.83568
16.538,0.83637
16.589,0.83706
16.64,0.83774
16.691,0.83842
16.742,0.8391
16.794,0.83978
16.845,0.84046
16.896,0.84113
16.947,0.8418
16.998,0.84247
17.05,0.84313
17.101,0.84379
17.152,0.84445
17.203,0.84511
17.254,0.84577
17.306,0.84642
17.357,0.84707
17.408,0.84772
17.459,0.84837
17.51,0.84901
17.562,0.84965
17.613,0.85029
17.664,0.85093
17.715,0.85156
17.766,0.85219
17.818,0.85282
17.869,0.85345
17.92,0.85408
17.971,0.8547
18.022,0.85532
18.074,0.85594
18.125,0.85656
18.176,0.85717
18.227,0.85778
18.278,0.85839
18.33,0.859
18.381,0.8596
18.432,0.86021
18.483,0.86081
18.534,0.86141
18.586,0.862
18.637,0.8626
18.688,0.86319
18.739,0.86378
18.79,0.86437
18.842,0.86495
18.893,0.86553
18.944,0.86611
18.995,0.86669
19.046,0.86727
19.098,0.86784
19.149,0.86842
19.2,0.86899
19.251,0.86955
19.302,0.87012
19.354,0.87068
19.405,0.87124
19.456,0.8718
19.507,0.87236
19.558,0.87292
19.61,0.87347
19.661,0.87402
19.712,0.87457
19.763,0.87512
19.814,0.87566
19.866,0.8762
19.917,0.87674
19.968,0.87728
20.019,0.87782
20.07,0.87835
20.122,0.87888
20.173,0.87941
20.224,0.87994
20.275,0.88047
20.326,0.88099
20.378,0.88152
20.429,0.88204
20.48,0.88255
20.531,0.88307
20.582,0.88358
20.634,0.8841
20.685,0.88461
20.736,0.88511
20.787,0.88562
20.838,0.88613
20.89,0.88663
20.941,0.88713
20.992,0.88763
21.043,0.88812
21.094,0.88862
21.146,0.88911
21.197,0.8896
21.248,0.89009
21.299,0.89058
21.35,0.89106
21.402,0.89154
21.453,0.89203
21.504,0.89251
21.555,0.89298
21.606,0.89346
21.658,0.89393
21.709,0.8944
21.76,0.89487
21.811,0.89534
21.862,0.89581
21.914,0.89627
21.965,0.89673
22.016,0.8972
22.067,0.89765
22.118,0.89811
22.17,0.89857
22.221,0.89902
22.272,0.89947
22.323,0.89992
22.374,0.90037
22.426,0.90082
22.477,0.90126
22.528,0.9017
22.579,0.90214
22.63,0.90258
22.682,0.90302
22.733,0.90346
22.784,0.90389
22.835,0.90432
22.886,0.90475
22.938,0.90518
22.989,0.90561
23.04,0.90603
23.091,0.90646
23.142,0.90688
23.194,0.9073
23.245,0.90772
23.296,0.90813
23.347,0.90855
23.398,0.90896
23.45,0.90937
23.501,0.90978
23.552,0.91019
23.603,0.9106
23.654,0.91101
23.706,0.91141
23.757,0.91181
23.808,0.91221
23.859,0.91261
23.91,0.91301
23.962,0.9134
24.013,0.91379
24.064,0.91419
24.115,0.91458
24.166,0.91497
24.218,0.91535
24.269,0.91574
24.32,0.91612
24.371,0.91651
24.422,0.91689
24.474,0.91727
24.525,0.91764
24.576,0.91802
24.627,0.91839
24.678,0.91877
24.73,0.91914
24.781,0.91951
24.832,0.91988
24.883,0.92025
24.934,0.92061
24.986,0.92097
25.037,0.92134
25.088,0.9217
25.139,0.92206
25.19,0.92242
25.242,0.92277
25.293,0.92313
25.344,0.92348
25.395,0.92383
25.446,0.92418
25.498,0.92453
25.549,0.92488
25.6,0.92523
25.651,0.92557
25.702,0.92591
25.754,0.92626
25.805,0.9266
25.856,0.92694
25.907,0.92727
25.958,0.92761
26.01,0.92794
26.061,0.92828
26.112,0.92861
26.163,0.92894
26.214,0.92927
26.266,0.9296
26.317,0.92992
26.368,0.93025
26.419,0.93057
26.47,0.93089
26.522,0.93122
26.573,0.93154
26.624,0.93185
26.675,0.93217
26.726,0.93249
26.778,0.9328
26.829,0.93311
26.88,0.93342
26.931,0.93373
26.982,0.93404
27.034,0.93435
27.085,0.93466
27.136,0.93496
27.187,0.93527
27.238,0.93557
27.29,0.93587
27.341,0.93617
27.392,0.93647
27.443,0.93677
27.494,0.93706
27.546,0.93736
27.597,0.93765
27.648,0.93794
27.699,0.93823
27.75,0.93852
27.802,0.93881
27.853,0.9391
27.904,0.93938
27.955,0.93967
28.006,0.93995
28.058,0.94023
28.109,0.94052
28.16,0.9408
28.211,0.94107
28.262,0.94135
28.314,0.94163
28.365,0.9419
28.416,0.94218
28.467,0.94245
28.518,0.94272
28.57,0.94299
28.621,0.94326
28.672,0.94353
28.723,0.94379
28.774,0.94406
28.826,0.94433
28.877,0.94459
28.928,0.94485
28.979,0.94511
29.03,0.94537
29.082,0.94563
29.133,0.94589
29.184,0.94614
29.235,0.9464
29.286,0.94665
29.338,0.94691
29.389,0.94716
29.44,0.94741
29.491,0.94766
29.542,0.94791
29.594,0.94816
29.645,0.9484
29.696,0.94865
29.747,0.94889
29.798,0.94914
29.85,0.94938
29.901,0.94962
29.952,0.94986
30.003,0.9501
30.054,0.95034
30.106,0.95057
30.157,0.95081
30.208,0.95105
30.259,0.95128
30.31,0.95151
30.362,0.95174
30.413,0.95198
30.464,0.95221
30.515,0.95243
30.566,0.95266
30.618,0.95289
30.669,0.95311
30.72,0.95334
30.771,0.95356
30.822,0.95379
30.874,0.95401
30.925,0.95423
30.976,0.95445
31.027,0.95467
31.078,0.95488
31.13,0.9551
31.181,0.95532
31.232,0.95553
31.283,0.95575
31.334,0.95596
31.386,0.95617
31.437,0.95638
31.488,0.95659
31.539,0.9568
31.59,0.95701
31.642,0.95722
31.693,0.95742
31.744,0.95763
31.795,0.95783
31.846,0.95804
31.898,0.95824
31.949,0.95844
32,0.95864
32.051,0.95884
32.102,0.95904
32.154,0.95924
32.205,0.95944
32.256,0.95964
32.307,0.95983
32.358,0.96003
32.41,0.96022
32.461,0.96041
32.512,0.9606
32.563,0.9608
32.614,0.96099
32.666,0.96118
32.717,0.96136
32.768,0.96155
32.819,0.96174
32.87,0.96193
32.922,0.96211
32.973,0.96229
33.024,0.96248
33.075,0.96266
33.126,0.96284
33.178,0.96302
33.229,0.9632
33.28,0.96338
33.331,0.96356
33.382,0.96374
33.434,0.96392
33.485,0.96409
33.536,0.96427
33.587,0.96444
33.638,0.96462
33.69,0.96479
33.741,0.96496
33.792,0.96513
33.843,0.9653
33.894,0.96547
33.946,0.96564
33.997,0.96581
34.048,0.96598
34.099,0.96615
34.15,0.96631
34.202,0.96648
34.253,0.96664
34.304,0.96681
34.355,0.96697
34.406,0.96713
34.458,0.96729
34.509,0.96745
34.56,0.96761
34.611,0.96777
34.662,0.96793
34.714,0.96809
34.765,0.96825
34.816,0.9684
34.867,0.96856
34.918,0.96871
34.97,0.96887
35.021,0.96902
35.072,0.96917
35.123,0.96933
35.174,0.96948
35.226,0.96963
35.277,0.96978
35.328,0.96993
35.379,0.97008
35.43,0.97022
35.482,0.97037
35.533,0.97052
35.584,0.97066
35.635,0.97081
35.686,0.97095
35.738,0.9711
35.789,0.97124
35.84,0.97138
35.891,0.97152
35.942,0.97167
35.994,0.97181
36.045,0.97195
36.096,0.97209
36.147,0.97222
36.198,0.97236
36.25,0.9725
36.301,0.97264
36.352,0.97277
36.403,0.97291
36.454,0.97304
36.506,0.97318
36.557,0.97331
36.608,0.97344
36.659,0.97357
36.71,0.97371
36.762,0.97384
36.813,0.97397
36.864,0.9741
36.915,0.97423
36.966,0.97436
37.018,0.97448
37.069,0.97461
37.12,0.97474
37.171,0.97486
37.222,0.97499
37.274,0.97511
37.325,0.97524
37.376,0.97536
37.427,0.97549
37.478,0.97561
37.53,0.97573
37.581,0.97585
37.632,0.97597
37.683,0.97609
37.734,0.97621
37.786,0.97633
37.837,0.97645
37.888,0.97657
37.939,0.97669
37.99,0.9768
38.042,0.97692
38.093,0.97704
38.144,0.97715
38.195,0.97727
38.246,0.97738
38.298,0.97749
38.349,0.97761
38.4,0.97772
38.451,0.97783
38.502,0.97794
38.554,0.97805
38.605,0.97817
38.656,0.97828
38.707,0.97838
38.758,0.97849
38.81,0.9786
38.861,0.97871
38.912,0.97882
38.963,0.97892
39.014,0.97903
39.066,0.97914
39.117,0.97924
39.168,0.97935
39.219,0.97945
39.27,0.97955
39.322,0.97966
39.373,0.97976
39.424,0.97986
39.475,0.97997
39.526,0.98007
39.578,0.98017
39.629,0.98027
39.68,0.98037
39.731,0.98047
39.782,0.98057
39.834,0.98067
39.885,0.98076
39.936,0.98086
39.987,0.98096
40.038,0.98105
40.09,0.98115
40.141,0.98125
40.192,0.98134
40.243,0.98144
40.294,0.98153
40.346,0.98162
40.397,0.98172
40.448,0.98181
40.499,0.9819
40.55,0.982
40.602,0.98209
40.653,0.98218
40.704,0.98227
40.755,0.98236
40.806,0.98245
40.858,0.98254
40.909,0.98263
40.96,0.98272
41.011,0.9828
41.062,0.98289
41.114,0.98298
41.165,0.98307
41.216,0.98315
41.267,0.98324
41.318,0.98332
41.37,0.98341
41.421,0.9835
41.472,0.98358
41.523,0.98366
41.574,0.98375
41.626,0.98383
41.677,0.98391
41.728,0.984
41.779,0.98408
41.83,0.98416
41.882,0.98424
41.933,0.98432
41.984,0.9844
42.035,0.98448
42.086,0.98456
42.138,0.98464
42.189,0.98472
42.24,0.9848
42.291,0.98488
42.342,0.98495
42.394,0.98503
42.445,0.98511
42.496,0.98518
42.547,0.98526
42.598,0.98534
42.65,0.98541
42.701,0.98549
42.752,0.98556
42.803,0.98564
42.854,0.98571
42.906,0.98578
42.957,0.98586
43.008,0.98593
43.059,0.986
43.11,0.98607
43.162,0.98615
43.213,0.98622
43.264,0.98629
43.315,0.98636
43.366,0.98643
43.418,0.9865
43.469,0.98657
43.52,0.98664
43.571,0.98671
43.622,0.98678
43.674,0.98685
43.725,0.98691
43.776,0.98698
43.827,0.98705
43.878,0.98712
43.93,0.98718
43.981,0.98725
44.032,0.98731
44.083,0.98738
44.134,0.98745
44.186,0.98751
44.237,0.98758
44.288,0.98764
44.339,0.9877
44.39,0.98777
44.442,0.98783
44.493,0.98789
44.544,0.98796
44.595,0.98802
44.646,0.98808
44.698,0.98814
44.749,0.98821
44.8,0.98827
44.851,0.98833
44.902,0.98839
44.954,0.98845
45.005,0.98851
45.056,0.98857
45.107,0.98863
45.158,0.98869
45.21,0.98875
45.261,0.98881
45.312,0.98886
45.363,0.98892
45.414,0.98898
45.466,0.98904
45.517,0.98909
45.568,0.98915
45.619,0.98921
45.67,0.98926
45.722,0.98932
45.773,0.98938
45.824,0.98943
45.875,0.98949
45.926,0.98954
45.978,0.9896
46.029,0.98965
46.08,0.98971
46.131,0.98976
46.182,0.98981
46.234,0.98987
46.285,0.98992
46.336,0.98997
46.387,0.99002
46.438,0.99008
46.49,0.99013
46.541,0.99018
46.592,0.99023
