pcorrect_com_x_fit,pcorrect_com_y_fit
0,0.50325
0.0256,0.50351
0.0512,0.50378
0.0768,0.50404
0.1024,0.50431
0.128,0.50457
0.1536,0.50483
0.1792,0.5051
0.2048,0.50536
0.2304,0.50562
0.256,0.50589
0.2816,0.50615
0.3072,0.50641
0.3328,0.50667
0.3584,0.50694
0.384,0.5072
0.4096,0.50746
0.4352,0.50772
0.4608,0.50798
0.4864,0.50824
0.512,0.50851
0.5376,0.50877
0.5632,0.50903
0.5888,0.50929
0.6144,0.50955
0.64,0.50981
0.6656,0.51007
0.6912,0.51033
0.7168,0.51059
0.7424,0.51085
0.768,0.51111
0.7936,0.51136
0.8192,0.51162
0.8448,0.51188
0.8704,0.51214
0.896,0.5124
0.9216,0.51266
0.9472,0.51291
0.9728,0.51317
0.9984,0.51343
1.024,0.51369
1.0496,0.51394
1.0752,0.5142
1.1008,0.51446
1.1264,0.51471
1.152,0.51497
1.1776,0.51522
1.2032,0.51548
1.2288,0.51574
1.2544,0.51599
1.28,0.51625
1.3056,0.5165
1.3312,0.51676
1.3568,0.51701
1.3824,0.51727
1.408,0.51752
1.4336,0.51777
1.4592,0.51803
1.4848,0.51828
1.5104,0.51854
1.536,0.51879
1.5616,0.51904
1.5872,0.51929
1.6128,0.51955
1.6384,0.5198
1.664,0.52005
1.6896,0.5203
1.7152,0.52056
1.7408,0.52081
1.7664,0.52106
1.792,0.52131
1.8176,0.52156
1.8432,0.52181
1.8688,0.52206
1.8944,0.52232
1.92,0.52257
1.9456,0.52282
1.9712,0.52307
1.9968,0.52332
2.0224,0.52357
2.048,0.52381
2.0736,0.52406
2.0992,0.52431
2.1248,0.52456
2.1504,0.52481
2.176,0.52506
2.2016,0.52531
2.2272,0.52556
2.2528,0.5258
2.2784,0.52605
2.304,0.5263
2.3296,0.52655
2.3552,0.52679
2.3808,0.52704
2.4064,0.52729
2.432,0.52753
2.4576,0.52778
2.4832,0.52803
2.5088,0.52827
2.5344,0.52852
2.56,0.52876
2.5856,0.52901
2.6112,0.52925
2.6368,0.5295
2.6624,0.52974
2.688,0.52999
2.7136,0.53023
2.7392,0.53048
2.7648,0.53072
2.7904,0.53097
2.816,0.53121
2.8416,0.53145
2.8672,0.5317
2.8928,0.53194
2.9184,0.53218
2.944,0.53242
2.9696,0.53267
2.9952,0.53291
3.0208,0.53315
3.0464,0.53339
3.072,0.53364
3.0976,0.53388
3.1232,0.53412
3.1488,0.53436
3.1744,0.5346
3.2,0.53484
3.2256,0.53508
3.2512,0.53532
3.2768,0.53556
3.3024,0.5358
3.328,0.53604
3.3536,0.53628
3.3792,0.53652
3.4048,0.53676
3.4304,0.537
3.456,0.53724
3.4816,0.53748
3.5072,0.53772
3.5328,0.53795
3.5584,0.53819
3.584,0.53843
3.6096,0.53867
3.6352,0.53891
3.6608,0.53914
3.6864,0.53938
3.712,0.53962
3.7376,0.53985
3.7632,0.54009
3.7888,0.54033
3.8144,0.54056
3.84,0.5408
3.8656,0.54103
3.8912,0.54127
3.9168,0.54151
3.9424,0.54174
3.968,0.54198
3.9936,0.54221
4.0192,0.54244
4.0448,0.54268
4.0704,0.54291
4.096,0.54315
4.1216,0.54338
4.1472,0.54362
4.1728,0.54385
4.1984,0.54408
4.224,0.54431
4.2496,0.54455
4.2752,0.54478
4.3008,0.54501
4.3264,0.54525
4.352,0.54548
4.3776,0.54571
4.4032,0.54594
4.4288,0.54617
4.4544,0.5464
4.48,0.54664
4.5056,0.54687
4.5312,0.5471
4.5568,0.54733
4.5824,0.54756
4.608,0.54779
4.6336,0.54802
4.6592,0.54825
4.6848,0.54848
4.7104,0.54871
4.736,0.54894
4.7616,0.54916
4.7872,0.54939
4.8128,0.54962
4.8384,0.54985
4.864,0.55008
4.8896,0.55031
4.9152,0.55054
4.9408,0.55076
