is_com,coherence,hand_IT
1,0,0,0.97609
2,0,0,0.78053
3,0,0,0.97609
4,0,0,0.96157
5,0,0,0.98463
6,0,0,0.9462
7,0,0,0.97182
8,1,0,0.98377
9,0,0,0.65329
10,0,0,0.81896
11,0,0,0.66183
12,0,0,0.97353
13,0,0,0.91119
14,0,0,0.86336
15,0,0,0.80529
16,0,0,0.61998
17,0,0,0.77284
18,0,0,0.48762
19,0,0,0.97865
20,0,0,0.98548
21,0,0,0.80273
22,0,0,0.96413
23,1,0,0.98292
24,0,0,0.97438
25,0,0,0.96926
26,0,0,0.96072
27,0,0,0.9684
28,0,0,0.94962
29,0,0,0.98548
30,0,0,0.79249
31,0,0,0.81725
32,0,0,0.9684
33,0,0,0.79419
34,0,0,0.9795
35,0,0,0.97865
36,0,0,0.73954
37,0,0,0.37746
38,0,0,0.97353
39,1,0,0.98036
40,0,0,0.97096
41,0,0,0.98036
42,1,0,0.98036
43,0,0,0.70453
44,0,0,0.97865
45,0,0,0.96413
46,0,0,0.64987
47,0,0,0.97353
48,0,0,0.97438
49,0,0,0.87105
50,0,0,0.81213
51,0,0,0.75064
52,1,0,0.98036
53,0,0,0.97694
54,0,0,0.72161
55,1,0,0.98463
56,0,0,0.86507
57,0,0,0.20751
58,0,0,0.97438
59,0,0,0.5158
60,0,0,0.76857
61,0,0,0.52775
62,0,0,0.7643
63,0,0,0.9035
64,0,0,0.77882
65,0,0,0.79419
66,0,0,0.98377
67,0,0,0.97353
68,0,0,0.9667
69,0,0,0.9795
70,0,0,0.6345
71,0,0,0.96926
72,0,0,0.5474
73,0,0,0.95986
74,0,0,0.87361
75,0,0,0.97353
76,0,0,0.99146
77,0,0,0.96926
78,0,0,0.30658
79,1,0,0.98377
80,0,0,0.96926
81,1,0,0.98207
82,0,0,0.9778
83,0,0,0.96926
84,0,0,0.96755
85,1,0,0.98634
86,0,0,0.70709
87,0,0,0.79932
88,0,0,0.51067
89,0,0,0.96499
90,0,0,0.98548
91,0,0,0.59863
92,0,0,0.97353
93,1,0,0.98292
94,0,0,0.74295
95,0,0,0.97865
96,0,0,0.61742
97,0,0,0.98207
98,0,0,0.51067
99,0,0,0.97096
100,0,0,0.70196
101,0,0,0.82408
102,0,0,0.98463
103,0,0,0.97011
104,0,0,0.84714
105,0,0,0.8275
106,0,0,0.86422
107,0,0,0.63279
108,0,0,0.58582
109,0,0,0.96755
110,0,0,0.98207
111,0,0,0.97011
112,0,0,0.97694
113,0,0,0.96499
114,0,0,0.97609
115,0,0,0.56704
116,0,0,0.88813
117,0,0,0.98121
118,0,0,0.87959
119,0,0,0.98121
120,0,0,0.98121
121,0,0,0.70965
122,0,0,0.97523
