y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.4518,2.2102,0,0,0,2.6209,2.4709,0,0,0
2.3652,2.0048,0,0,0,2.4697,2.458,0,0,0
2.1585,2.0988,0,0,0,2.3708,2.249,0,0,0
2.174,2.197,0,0,0,2.284,2.1689,0,0,0
2.2668,2.0608,0,0,0,2.1803,2.1686,0,0,0
2.3435,2.0377,0,0,0,2.2648,2.2017,0,0,0
2.2445,2.0779,0,0,0,2.2628,2.1912,0,0,0
2.2128,2.0521,0,0,0,2.1996,2.156,0,0,0
2.2533,2.0018,0,0,0,2.2713,2.0748,0,0,0
2.0893,1.8478,0,0,0,2.1756,2.037,0,0,0
2.0728,1.981,0,0,0,2.2314,2.057,0,0,0
2.1994,1.9739,0,0,0,2.2433,2.0194,0,0,0
2.1972,1.9505,0,0,0,2.21,2.097,0,0,0
2.2536,1.9722,0,0,0,2.2385,2.1267,0,0,0
2.1873,1.9476,0,0,0,2.1838,2.2089,0,0,0
2.3058,2.0199,0,0,0,2.346,2.2003,0,0,0
2.23,1.9395,0,0,0,2.4181,2.155,0,0,0
2.2201,1.9169,0,0,0,2.3242,2.1868,0,0,0
2.2588,1.8547,0,0,0,2.4302,2.1641,0,0,0
2.129,1.9789,0,0,0,2.4568,2.1806,0,0,0
2.1692,2.1356,0,0,0,2.4755,2.1488,0,0,0
2.1879,2.0434,0,0,0,2.4416,2.1668,0,0,0
2.2799,2.0849,0,0,0,2.3458,2.1673,0,0,0
2.3654,2.143,0,0,0,2.374,2.3091,0,0,0
2.3638,2.1231,0,0,0,2.2207,2.3638,0,0,0
2.4559,2.245,0,0,0,2.3081,2.248,0,0,0
2.4699,2.1842,0,0,0,2.3149,2.0726,0,0,0
2.2846,2.2006,0,0,0,2.3308,2.0881,0,0,0
2.3174,2.0937,0,0,0,2.3144,2.0991,0,0,0
2.4018,2.1863,0,0,0,2.3862,2.1753,0,0,0
2.2631,2.1844,0,0,0,2.3609,2.2101,0,0,0
2.1995,2.4956,0,0,0,2.4394,2.1236,0,0,0
2.1865,2.4406,0,0,0,2.4821,2.1674,0,0,0
2.227,2.31,0,0,0,2.505,2.1895,0,0,0
2.097,2.3389,0,0,0,2.3869,2.1273,0,0,0
2.2137,2.3693,0,0,0,2.4454,2.1107,0,0,0
2.1846,2.2599,0,0,0,2.3577,2.1583,0,0,0
2.2692,2.2375,0,0,0,2.3315,2.1579,0,0,0
2.3856,2.0611,0,0,0,2.265,2.1957,0,0,0
2.1033,2.1596,0,0,0,2.2712,2.2294,0,0,0
2.1818,2.2874,0,0,0,2.2117,2.2416,0,0,0
2.1715,2.2156,0,0,0,2.2384,2.1959,0,0,0
2.3377,2.1887,0,0,0,2.2293,2.1892,0,0,0
2.1802,2.294,0,0,0,2.2579,2.2786,0,0,0
2.1868,2.205,0,0,0,2.2401,2.3354,0,0,0
2.3163,2.2651,0,0,0,2.292,2.3449,0,0,0
2.2134,2.2964,0,0,0,2.2268,2.2346,0,0,0
2.0265,2.1675,0,0,0,2.1821,2.1725,0,0,0
2.1726,2.146,0,0,0,2.1653,2.1514,0,0,0
2.2356,2.0761,0,0,0,2.1366,2.1872,0,0,0
2.0724,2.1705,0,0,0,2.2944,2.1259,0,0,0
2.1822,2.1347,0,0,0,2.2261,2.1973,0,0,0
2.1003,2.0531,0,0,0,2.2538,2.2678,0,0,0
2.0641,2.1266,0,0,0,2.1952,2.3339,0,0,0
2.1131,2.0758,0,0,0,2.145,2.3052,0,0,0
2.1653,2.0655,0,0,0,2.1581,2.2444,0,0,0
2.3995,2.0151,0,0,0,2.236,2.2121,0,0,0
2.4152,2.0605,0,0,0,2.1988,2.249,0,0,0
2.4265,2.0679,0,0,0,2.1994,2.3554,0,0,0
2.1999,1.983,0,0,0,2.1814,2.3192,0,0,0
2.0512,2.0039,0,0,0,2.2134,2.3866,0,0,0
2.243,1.969,0,0,0,2.2515,2.3747,0,0,0
2.369,2.0813,0,0,0,2.1912,2.3401,0,0,0
2.2993,2.0738,0,0,0,2.1238,2.2848,0,0,0
2.2171,2.1265,0,0,0,2.2186,2.2641,0,0,0
2.3237,2.1257,0,0,0,2.2144,2.2074,0,0,0
2.47,2.2437,0,0,0,2.2468,2.1973,0,0,0
2.3826,2.2448,0,0,0,2.1816,2.218,0,0,0
2.354,2.244,0,0,0,2.2389,2.2383,0,0,0
2.2902,2.3729,0,0,0,2.2935,2.3518,0,0,0
2.2857,2.3328,0,0,0,2.2842,2.3438,0,0,0
2.2557,2.4368,0,0,0,2.3108,2.3004,0,0,0
2.2868,2.2933,0,0,0,2.2769,2.2882,0,0,0
2.2202,2.3495,0,0,0,2.353,2.336,0,0,0
2.2137,2.3044,0,0,0,2.336,2.311,0,0,0
2.2446,2.2635,0,0,0,2.3445,2.2979,0,0,0
2.4834,2.4223,0,0,0,2.3499,2.3155,0,0,0
2.5541,2.3815,0,0,0,2.3201,2.2476,0,0,0
2.6019,2.2989,0,0,0,2.3293,2.1916,0,0,0
2.6096,2.3626,0,0,0,2.3136,2.2057,0,0,0
2.6711,2.3859,0,0,0,2.3229,2.3251,0,0,0
2.5411,2.3324,0,0,0,2.3547,2.3432,0,0,0
2.5461,2.315,0,0,0,2.4003,2.2436,0,0,0
2.4243,2.2543,0,0,0,2.3507,2.295,0,0,0
2.4671,2.1434,0,0,0,2.3387,2.2724,0,0,0
2.2605,2.1464,0,0,0,2.2899,2.2969,0,0,0
2.2096,2.1459,0,0,0,2.2444,2.3086,0,0,0
2.1849,2.2487,0,0,0,2.322,2.3676,0,0,0
2.2855,2.1459,0,0,0,2.1939,2.3353,0,0,0
2.1976,2.1589,0,0,0,2.1863,2.3204,0,0,0
2.2977,2.2491,0,0,0,2.2329,2.3293,0,0,0
2.2763,2.2454,0,0,0,2.2854,2.3908,0,0,0
2.2136,2.3087,0,0,0,2.4483,2.3305,0,0,0
2.2186,2.3127,0,0,0,2.3029,2.3705,0,0,0
2.4113,2.309,0,0,0,2.2127,2.3272,0,0,0
2.4704,2.0855,0,0,0,2.2325,2.3087,0,0,0
2.5342,2.2661,0,0,0,2.245,2.3107,0,0,0
2.4116,2.3592,0,0,0,2.3108,2.3012,0,0,0
2.2817,2.343,0,0,0,2.2468,2.3838,0,0,0
2.256,2.191,0,0,0,2.1962,2.3824,0,0,0
2.0468,2.14,0,0,0,2.1319,2.3946,0,0,0
2.0458,2.1157,0,0,0,2.1798,2.4537,0,0,0
2.1227,2.1823,0,0,0,2.3274,2.4361,0,0,0
2.3188,2.2625,0,0,0,2.27,2.4437,0,0,0
2.3725,2.1145,0,0,0,2.3457,2.4425,0,0,0
2.4549,2.1608,0,0,0,2.314,2.4251,0,0,0
2.2616,2.3824,0,0,0,2.2704,2.3716,0,0,0
2.3702,2.5107,0,0,0,2.2756,2.3478,0,0,0
2.4324,2.4875,0,0,0,2.3165,2.3598,0,0,0
2.4405,2.4097,0,0,0,2.3855,2.3302,0,0,0
2.3961,2.2631,0,0,0,2.4383,2.3998,0,0,0
2.2934,2.2816,0,0,0,2.4314,2.5273,0,0,0
2.316,2.4414,0,0,0,2.3904,2.5507,0,0,0
2.3711,2.5226,0,0,0,2.4176,2.5635,0,0,0
2.4289,2.3001,0,0,0,2.4331,2.5283,0,0,0
2.3822,2.326,0,0,0,2.3466,2.4409,0,0,0
2.3155,2.1503,0,0,0,2.3606,2.4456,0,0,0
2.3779,2.1509,0,0,0,2.3972,2.4036,0,0,0
2.3759,2.0871,0,0,0,2.4543,2.3242,0,0,0
2.4183,2.1284,0,0,0,2.3709,2.3504,0,0,0
2.4975,2.1505,0,0,0,2.275,2.3964,0,0,0
2.5654,2.2122,0,0,0,2.3255,2.425,0,0,0
2.6154,2.2415,0,0,0,2.355,2.4425,0,0,0
2.4009,2.1811,0,0,0,2.3684,2.3693,0,0,0
2.4337,2.1853,0,0,0,2.284,2.3107,0,0,0
2.4054,2.3742,0,0,0,2.2679,2.2942,0,0,0
2.5456,2.5489,0,0,0,2.1939,2.2307,0,0,0
2.2985,2.3788,0,0,0,2.2743,2.2855,0,0,0
2.3293,2.4136,0,0,0,2.2394,2.2331,0,0,0
2.2323,2.4504,0,0,0,2.3061,2.2298,0,0,0
2.1703,2.3117,0,0,0,2.3369,2.2935,0,0,0
2.0425,2.1781,0,0,0,2.3165,2.3681,0,0,0
2.3025,2.3224,0,0,0,2.4131,2.3634,0,0,0
2.4002,2.3134,0,0,0,2.3892,2.3052,0,0,0
2.577,2.3388,0,0,0,2.2536,2.361,0,0,0
2.472,2.2665,0,0,0,2.2136,2.4067,0,0,0
2.3658,2.2597,0,0,0,2.1965,2.4258,0,0,0
2.4092,2.2319,0,0,0,2.3055,2.4028,0,0,0
2.3114,2.2716,0,0,0,2.3268,2.3858,0,0,0
2.3024,2.1707,0,0,0,2.3054,2.404,0,0,0
2.4495,2.3092,0,0,0,2.2281,2.3863,0,0,0
2.3814,2.3278,0,0,0,2.3092,2.3278,0,0,0
2.2665,2.3126,0,0,0,2.3664,2.2966,0,0,0
2.1685,2.2979,0,0,0,2.3268,2.2051,0,0,0
2.3761,2.305,0,0,0,2.2393,2.2989,0,0,0
2.4169,2.2459,0,0,0,2.2306,2.3526,0,0,0
