y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.4457,2.4066,0,0,0,2.3725,2.4053,0,0,0
2.3329,2.3275,0,0,0,2.2795,2.3164,0,0,0
2.2619,2.2916,0,0,0,2.2327,2.2666,0,0,0
2.2404,2.2752,0,0,0,2.1951,2.2704,0,0,0
2.2327,2.2752,0,0,0,2.1909,2.2334,0,0,0
2.2089,2.2712,0,0,0,2.1645,2.23,0,0,0
2.2053,2.2605,0,0,0,2.1764,2.2129,0,0,0
2.2163,2.2342,0,0,0,2.1818,2.2449,0,0,0
2.2148,2.232,0,0,0,2.16,2.2463,0,0,0
2.2156,2.2464,0,0,0,2.1355,2.2328,0,0,0
2.2222,2.2431,0,0,0,2.1698,2.2284,0,0,0
2.2118,2.2516,0,0,0,2.1517,2.235,0,0,0
2.2196,2.2565,0,0,0,2.1735,2.2228,0,0,0
2.2145,2.252,0,0,0,2.1962,2.2353,0,0,0
2.2267,2.24,0,0,0,2.2098,2.2379,0,0,0
2.2373,2.2602,0,0,0,2.2175,2.2161,0,0,0
2.2232,2.2492,0,0,0,2.1941,2.202,0,0,0
2.1936,2.2444,0,0,0,2.2212,2.2396,0,0,0
2.1957,2.2389,0,0,0,2.1926,2.2579,0,0,0
2.1904,2.2163,0,0,0,2.2041,2.2459,0,0,0
2.2099,2.2289,0,0,0,2.1824,2.2342,0,0,0
2.2218,2.2312,0,0,0,2.1919,2.2136,0,0,0
2.2267,2.2493,0,0,0,2.2034,2.1863,0,0,0
2.2384,2.2604,0,0,0,2.2221,2.2124,0,0,0
2.2454,2.2525,0,0,0,2.2189,2.2477,0,0,0
2.246,2.2496,0,0,0,2.228,2.2455,0,0,0
2.2039,2.2837,0,0,0,2.2176,2.2804,0,0,0
2.2149,2.273,0,0,0,2.2293,2.3025,0,0,0
2.229,2.2601,0,0,0,2.2331,2.3025,0,0,0
2.2365,2.2636,0,0,0,2.2325,2.3085,0,0,0
2.2397,2.2597,0,0,0,2.2138,2.284,0,0,0
2.2111,2.246,0,0,0,2.1915,2.2662,0,0,0
2.2214,2.2401,0,0,0,2.2012,2.2659,0,0,0
2.2212,2.2448,0,0,0,2.1878,2.2922,0,0,0
2.2392,2.2602,0,0,0,2.198,2.305,0,0,0
2.2476,2.2487,0,0,0,2.2172,2.32,0,0,0
2.2502,2.254,0,0,0,2.2462,2.2898,0,0,0
2.2519,2.2562,0,0,0,2.2108,2.2802,0,0,0
2.242,2.2478,0,0,0,2.2156,2.2939,0,0,0
2.2312,2.2698,0,0,0,2.1993,2.2902,0,0,0
2.2289,2.2739,0,0,0,2.2251,2.2814,0,0,0
2.2392,2.2963,0,0,0,2.2107,2.277,0,0,0
2.2456,2.2899,0,0,0,2.2096,2.2796,0,0,0
2.2362,2.316,0,0,0,2.216,2.3059,0,0,0
2.2363,2.2885,0,0,0,2.2139,2.3014,0,0,0
2.2481,2.2703,0,0,0,2.2249,2.2829,0,0,0
2.2581,2.2812,0,0,0,2.2309,2.2645,0,0,0
2.2692,2.2681,0,0,0,2.2251,2.2536,0,0,0
2.291,2.2573,0,0,0,2.2318,2.2454,0,0,0
2.2748,2.2725,0,0,0,2.2599,2.2872,0,0,0
2.2891,2.2666,0,0,0,2.2586,2.2914,0,0,0
2.2845,2.2537,0,0,0,2.2609,2.2963,0,0,0
2.2857,2.2548,0,0,0,2.2334,2.3019,0,0,0
2.2784,2.2759,0,0,0,2.2124,2.2854,0,0,0
2.2714,2.2876,0,0,0,2.2062,2.2735,0,0,0
2.2805,2.3037,0,0,0,2.2095,2.2664,0,0,0
2.2738,2.2949,0,0,0,2.2508,2.2922,0,0,0
2.2639,2.2835,0,0,0,2.2397,2.2899,0,0,0
2.2773,2.2818,0,0,0,2.2365,2.2751,0,0,0
2.2685,2.2742,0,0,0,2.2564,2.2712,0,0,0
2.2784,2.2754,0,0,0,2.2544,2.3126,0,0,0
2.2929,2.2863,0,0,0,2.2536,2.314,0,0,0
2.2901,2.2884,0,0,0,2.2673,2.3211,0,0,0
2.2973,2.2982,0,0,0,2.2637,2.3285,0,0,0
2.2998,2.3028,0,0,0,2.2576,2.3309,0,0,0
2.2997,2.3134,0,0,0,2.256,2.3196,0,0,0
2.3135,2.3185,0,0,0,2.2656,2.307,0,0,0
2.3192,2.341,0,0,0,2.2637,2.2983,0,0,0
2.3137,2.3389,0,0,0,2.2709,2.3216,0,0,0
2.316,2.3287,0,0,0,2.2701,2.3316,0,0,0
2.3255,2.3366,0,0,0,2.2739,2.2982,0,0,0
2.3039,2.3337,0,0,0,2.2729,2.328,0,0,0
2.2703,2.3114,0,0,0,2.2848,2.302,0,0,0
2.2718,2.3072,0,0,0,2.2597,2.313,0,0,0
2.2946,2.2907,0,0,0,2.2576,2.3632,0,0,0
2.2865,2.2974,0,0,0,2.2725,2.3445,0,0,0
2.2901,2.3312,0,0,0,2.284,2.3237,0,0,0
2.2953,2.3059,0,0,0,2.2626,2.3257,0,0,0
2.2852,2.3103,0,0,0,2.2763,2.3725,0,0,0
2.2893,2.3015,0,0,0,2.2806,2.3869,0,0,0
2.2834,2.3142,0,0,0,2.2992,2.3646,0,0,0
2.2903,2.303,0,0,0,2.2858,2.3875,0,0,0
2.2731,2.302,0,0,0,2.2643,2.3853,0,0,0
2.2861,2.2773,0,0,0,2.2639,2.3516,0,0,0
2.2997,2.2704,0,0,0,2.2588,2.3457,0,0,0
2.2976,2.2863,0,0,0,2.2652,2.3606,0,0,0
2.3016,2.306,0,0,0,2.22,2.3561,0,0,0
2.3159,2.3064,0,0,0,2.2522,2.3579,0,0,0
2.3143,2.3111,0,0,0,2.273,2.336,0,0,0
2.3097,2.3256,0,0,0,2.2659,2.3514,0,0,0
2.2965,2.333,0,0,0,2.2876,2.3562,0,0,0
2.3082,2.3254,0,0,0,2.2925,2.3735,0,0,0
2.3196,2.3405,0,0,0,2.3078,2.4132,0,0,0
2.3407,2.3658,0,0,0,2.3059,2.3937,0,0,0
2.3392,2.3604,0,0,0,2.3169,2.3587,0,0,0
2.3268,2.375,0,0,0,2.3016,2.3513,0,0,0
2.3276,2.3592,0,0,0,2.3059,2.3591,0,0,0
