uncertainty,IT
0.48412,0.9783
0.68912,0.99082
0.21583,0.96912
0.54328,0.97913
0.514,0.98331
0.59176,0.98247
0.32785,0.97245
0.37064,0.97329
0.41044,0.97663
0.26008,0.96912
0.62999,0.98497
0.572,0.98247
0.63383,0.98581
0.16879,0.96745
0.29543,0.97245
0.23559,0.96995
0.14361,0.96494
0.25672,0.97078
0.23191,0.96995
0.80574,0.98497
0.037594,0.95993
0.39757,0.97412
0.27036,0.97162
0.23832,0.97078
0.67777,0.98664
0.17931,0.96661
0.25909,0.97329
0.58494,0.98581
0.53989,0.9808
0.66819,0.98581
0.23094,0.96995
0.55825,0.98331
0.25644,0.97162
0.58716,0.98331
0.19356,0.96912
0.27397,0.97245
0.3588,0.97579
0.10459,0.96411
0.094624,0.96327
0.40458,0.97579
0.42313,0.98164
0.72455,0.98497
0.23155,0.96912
0.5912,0.98331
0.37801,0.97579
0.46618,0.97913
0.2121,0.96828
0.49097,0.97997
0.31969,0.97663
0.65789,0.98581
0.66729,0.98164
0.14645,0.96828
0.65325,0.98497
0.45173,0.97663
0.12846,0.96494
0.55777,0.9808
0.27998,0.97245
0.47729,0.98331
0.16816,0.96745
0.41085,0.97997
0.66905,0.99249
0.81729,0.99583
0.75147,0.98748
0.20099,0.96745
0.69773,0.98831
0.42179,0.97496
0.51392,0.9783
0.29994,0.97663
0.48431,0.97913
0.49205,0.98247
0.37131,0.97746
0.17921,0.96661
0.44037,0.98164
0.35803,0.97496
0.53698,0.98581
0.35409,0.97412
0.27897,0.97329
0.43811,0.97997
0.72168,0.98581
0.19453,0.96661
0.2143,0.96745
0.56691,0.98164
0.3075,0.97245
0.44509,0.97913
0.49281,0.97997
0.17208,0.96578
0.32213,0.97245
0.27923,0.97496
0.44572,0.97913
0.55071,0.98414
0.66676,0.98831
0.54034,0.98497
0.46474,0.9783
0.39517,0.9783
0.39402,0.9783
0.63654,0.9808
0.65859,0.98831
0.46649,0.9808
0.4367,0.9783
0.78806,0.99249
0.22488,0.96912
0.42839,0.9783
0.47469,0.97746
0.47911,0.97746
0.46524,0.97997
0.26751,0.97329
0.46206,0.9808
0.59361,0.98414
0.41479,0.97412
0.51347,0.98331
0.24051,0.97245
0.48453,0.97997
0.25098,0.96828
0.23529,0.96995
0.20113,0.96912
0.54052,0.97913
0.55262,0.97997
0.27018,0.97162
0.47463,0.97997
0.33474,0.97579
0.46328,0.98247
0.17508,0.96661
0.22159,0.96828
0.10011,0.96327
0.091158,0.96494
0.52827,0.98247
0.49315,0.97913
0.45696,0.9783
0.66566,0.98497
0.46319,0.97746
0.34976,0.97579
0.65942,0.98998
0.59927,0.9808
0.68238,0.98581
0.40499,0.97746
0.33071,0.97329
0.57377,0.98247
0.35721,0.97746
0.62418,0.98664
0.29591,0.97412
0.41044,0.97913
0.42123,0.9783
0.66129,0.98831
0.33345,0.97496
0.31214,0.97329
0.27219,0.97162
0.81586,0.99082
0.73353,0.98164
0.70255,0.98998
0.34533,0.97412
0.28712,0.97245
0.60833,0.98414
0.36097,0.97579
0.24487,0.97162
0.53845,0.98164
0.76522,0.99082
0.19372,0.96745
0.37352,0.9783
0.17579,0.96745
0.36707,0.97412
0.30752,0.96995
0.44569,0.9808
0.14566,0.96494
0.28294,0.96912
0.51051,0.9783
0.43446,0.97997
0.63291,0.98497
0.27226,0.96995
0.73814,0.99165
0.096624,0.96327
0.39421,0.97746
0.34596,0.97579
0.47177,0.9783
0.29504,0.97245
0.69046,0.98664
0.73491,0.99249
0.36475,0.97245
0.46179,0.9808
0.43767,0.97997
0.32625,0.97412
0.40341,0.97579
0.52601,0.97746
0.22189,0.96912
0.16523,0.96828
0.18187,0.96661
0.43567,0.97663
0.47368,0.98581
0.45538,0.97746
0.45844,0.97579
0.49245,0.98331
0.6361,0.98664
0.31176,0.97329
0.42959,0.97746
0.43845,0.9783
0.64726,0.98581
0.60651,0.97997
0.20172,0.96745
0.42162,0.97913
0.57239,0.98414
0.52881,0.97997
0.73878,0.98497
0.37687,0.97579
0.59537,0.98247
0.5865,0.98247
0.17537,0.96745
0.2014,0.96745
0.49299,0.97997
0.69051,0.98331
0.50364,0.98247
0.03684,0.95993
0.26995,0.97162
0.37896,0.97663
0.57607,0.98247
0.3788,0.97663
0.10922,0.96411
0.55795,0.98497
0.73581,0.98915
0.41503,0.97663
0.501,0.9808
0.56994,0.98164
0.35229,0.97496
0.48238,0.98414
0.33022,0.97746
0.42037,0.9783
0.39959,0.97746
0.49398,0.97913
0.49422,0.98331
0.39546,0.97746
0.3588,0.97412
0.38904,0.97997
0.60798,0.98331
0.12066,0.96327
0.64006,0.98497
0.35111,0.97412
0.034041,0.95993
0.12198,0.96494
0.26139,0.97078
0.18925,0.96745
0.84667,0.98998
0.18047,0.96745
0.55145,0.98497
0.50555,0.9808
0.47978,0.98331
0.82247,0.98998
0.46575,0.97913
0.29615,0.97162
0.37039,0.97579
0.40822,0.97663
0.49101,0.98164
0.7027,0.99082
0.28326,0.97078
0.43283,0.97663
0.75642,0.98915
0.32757,0.97329
0.67592,0.99416
0.059861,0.96077
0.14064,0.96578
0.59292,0.98247
0.40128,0.97746
0.72585,0.98414
0.5855,0.9783
0.39022,0.97579
0.6725,0.98748
0.43309,0.98164
0.18774,0.96661
0.62075,0.98164
0.36432,0.97663
0.51412,0.98331
0.27755,0.97078
0.26115,0.97078
0.60739,0.97997
0.15213,0.96745
0.4824,0.97997
0.51755,0.98581
0.33291,0.97329
0.60643,0.98247
0.59452,0.98331
0.4138,0.9808
0.34072,0.97746
0.43983,0.98164
0.45393,0.97663
0.18088,0.96661
0.43662,0.97746
0.19394,0.96828
0.19315,0.96745
0.12267,0.96244
0.39272,0.97329
0.39262,0.97579
0.37696,0.97663
0.73725,0.98164
0.4288,0.9783
0.56092,0.98497
0.11677,0.96494
0.7367,0.98497
0.4449,0.97579
0.5422,0.97997
0.1117,0.96327
0.78263,0.99082
0.55259,0.98164
0.55162,0.98497
0.56528,0.97913
0.57545,0.98497
0.25632,0.97162
0.31855,0.97746
0.10943,0.96411
0.29478,0.97329
0.71359,0.98247
0.55858,0.98414
0.25169,0.96995
0.096986,0.96327
0.36547,0.97663
0.76441,0.98664
0.47562,0.9783
0.3931,0.97746
0.40224,0.97579
0.66834,0.97997
0.32038,0.96912
0.24062,0.97162
0.34804,0.97746
0.32488,0.97329
0.28132,0.97162
0.44336,0.97496
0.25757,0.96912
0.37653,0.97913
0.80062,0.98748
0.29524,0.97245
0.094803,0.96244
0.37688,0.97579
0.51971,0.97997
0.67835,0.98331
0.51108,0.97913
0.62757,0.98664
0.28106,0.96995
0.22041,0.96828
0.37004,0.97412
0.48016,0.97746
0.39401,0.97663
0.54334,0.97746
0.68128,0.98748
0.43255,0.97746
0.45378,0.97913
0.38925,0.9783
0.35826,0.9783
0.335,0.97913
0.30933,0.97329
0.21528,0.96828
0.37602,0.97579
0.64308,0.98247
0.34493,0.97579
0.19436,0.96661
0.40662,0.97663
0.6021,0.98915
0.57841,0.97997
0.45092,0.97997
0.39437,0.97579
0.33855,0.97746
0.3927,0.97663
0.32793,0.97579
0.69341,0.98664
0.41949,0.9783
0.37731,0.97663
0.53462,0.9808
0.59271,0.98664
0.63183,0.98164
0.35512,0.97663
0.46516,0.98247
0.61896,0.98164
0.84446,0.99249
0.75627,0.98831
0.43963,0.97997
0.31614,0.97579
0.72128,0.9975
0.52578,0.98414
0.43722,0.97663
0.75573,0.98581
0.35868,0.97245
0.15246,0.96578
0.36547,0.97579
0.10308,0.96244
0.58203,0.98497
0.30733,0.97329
0.4771,0.9783
0.35314,0.97496
0.43808,0.97746
0.58878,0.98581
0.3022,0.97329
0.6134,0.98247
0.76168,0.99082
0.31694,0.97412
0.34428,0.97412
0.23341,0.97162
0.35773,0.97329
0.38306,0.97579
0.55537,0.9808
0.13756,0.96661
0.67588,0.98831
0.35849,0.97412
0.41564,0.9783
0.051127,0.96077
0.72596,0.98748
0.45072,0.97746
0.42666,0.97746
0.79504,0.99165
0.55765,0.98247
0.51743,0.9808
0.52833,0.9808
0.20991,0.96912
0.40579,0.97746
0.64389,0.98247
0.58461,0.9783
0.31479,0.97663
0.52968,0.98414
0.25922,0.97245
0.34229,0.97579
0.4952,0.9783
0.47443,0.98247
0.28484,0.97162
0.35418,0.97579
0.65782,0.98247
0.4372,0.9783
0.43624,0.98164
0.38734,0.97412
0.37312,0.97329
0.33907,0.97329
0.35158,0.97496
0.15977,0.96578
0.31473,0.97329
0.34121,0.97496
0.17575,0.96661
0.38373,0.97913
0.61277,0.98414
0.49102,0.98164
0.37234,0.97663
0.47662,0.97496
0.77414,0.99082
0.36785,0.97663
0.6698,0.98497
0.35279,0.97412
0.64198,0.98497
0.58502,0.98998
0.47747,0.98247
0.35893,0.9783
0.39587,0.97412
0.13004,0.96411
0.39588,0.97746
0.54243,0.9808
0.59812,0.98497
0.35879,0.97663
0.4814,0.97663
0.21288,0.96995
0.57125,0.98331
0.53346,0.9808
0.65424,0.98497
0.56538,0.98247
0.70695,0.98915
0.26823,0.97078
0.57595,0.98247
0.41128,0.9783
0.35722,0.97579
0.3403,0.97412
0.36848,0.97746
0.087947,0.96244
0.65789,0.98831
0.87538,0.99082
0.42219,0.97913
0.41275,0.97746
0.09305,0.96244
0.50935,0.98247
0.24711,0.96828
0.077735,0.96244
0.43313,0.97746
0.25468,0.97162
0.36333,0.97663
0.5684,0.98164
0.61984,0.98497
0.34081,0.97663
0.56998,0.97913
0.1216,0.96411
0.22915,0.96912
0.5333,0.98164
0.58184,0.98164
0.26865,0.97078
0.30033,0.97329
0.46719,0.97496
0.13158,0.96411
0.21427,0.96745
0.42027,0.98164
0.58305,0.98164
0.50897,0.98331
0.30263,0.97663
0.553,0.98497
0.61108,0.98497
0.66957,0.98831
0.50275,0.97913
0.60231,0.98748
0.56796,0.98164
0.24349,0.96828
0.19949,0.96912
0.36174,0.97412
0.64279,0.98331
0.17595,0.96494
0.46801,0.97913
0.38727,0.97579
0.21684,0.96912
0.26313,0.97078
0.42265,0.97579
0.65479,0.98331
0.56162,0.98247
0.61916,0.98664
0.42593,0.97579
0.49551,0.97746
0.36121,0.97579
0.16424,0.96828
0.36038,0.97746
0.37244,0.97663
0.18298,0.96578
0.33031,0.97329
0.62815,0.98581
0.49094,0.98331
0.28572,0.97162
0.73057,0.98748
0.40024,0.97997
