is_com,coherence,hand_IT
1,0,0,0.038222
2,0,0,0.23877
3,0,0,0.06027
4,1,0,0.36256
5,0,0,0.11685
6,0,0,0.063888
7,0,0,0.058121
8,0,0,0.03291
9,0,0,0.017238
10,1,0,0.025364
11,0,0,0.18633
12,0,0,0.27412
13,0,0,0.10839
14,0,0,0.12979
15,0,0,0.021968
16,0,0,0.080474
17,0,0,0.24637
18,0,0,0.2684
19,0,0,0.44919
20,0,0,0.10508
21,0,0,0.42867
22,0,0,0.033805
23,0,0,0.45781
24,0,0,0.06812
25,0,0,0.014967
26,0,0,0.53833
27,0,0,0.1058
28,0,0,0.059833
29,0,0,0.064879
30,0,0,0.14867
31,0,0,0.10063
32,0,0,0.12794
33,0,0,0.073716
34,0,0,0.36366
35,0,0,0.16392
36,1,0,0.033858
37,0,0,0.032676
38,0,0,0.2822
39,1,0,0.31076
40,0,0,0.17364
41,0,0,0.17565
42,1,0,0.13768
43,0,0,0.087599
44,0,0,0.023856
45,0,0,0.086568
46,0,0,0.054352
47,0,0,0.10018
48,1,0,0.18934
49,0,0,0.15953
50,1,0,0.018613
51,0,0,0.058126
52,0,0,0.050952
53,0,0,0.17726
54,0,0,0.16341
55,1,0,0.03835
56,1,0,0.0458
57,1,0,0.077673
58,1,0,0.10891
59,0,0,0.11918
60,0,0,0.12324
61,1,0,0.40749
62,0,0,0.035174
63,0,0,0.015059
64,0,0,0.18674
65,0,0,0.031327
66,0,0,0.13389
67,0,0,0.10161
68,0,0,0.19491
69,0,0,0.034039
70,0,0,0.23294
71,0,0,0.12911
72,0,0,0.19343
73,0,0,0.17353
74,0,0,0.40086
75,0,0,0.072056
76,1,0,0.17087
77,0,0,0.20393
78,0,0,0.12038
79,0,0,0.048377
80,0,0,0.023109
81,1,0,0.054846
82,1,0,0.20015
83,0,0,0.29268
84,0,0,0.041329
85,0,0,0.29075
86,1,0,0.098335
87,0,0,0.15116
88,1,0,0.087324
89,0,0,0.078188
90,1,0,0.11568
91,0,0,0.048919
92,0,0,0.11083
93,0,0,0.21813
94,0,0,0.28315
95,0,0,0.26327
96,0,0,0.23386
97,0,0,0.089006
98,0,0,0.12999
99,1,0,0.040677
100,0,0,0.179
101,1,0,0.050571
102,0,0,0.1167
103,0,0,0.081097
104,1,0,0.30996
105,1,0,0.20858
106,0,0,0.21438
107,0,0,0.04869
108,0,0,0.012095
109,0,0,0.18121
110,1,0,0.32349
111,0,0,0.014532
112,0,0,0.32338
113,1,0,0.014778
114,0,0,0.083927
115,0,0,0.18147
116,0,0,0.10541
117,0,0,0.32155
118,0,0,0.25426
119,0,0,0.29985
120,0,0,0.083472
121,0,0,0.1015
122,0,0,0.21189
123,0,0,0.036899
124,0,0,0.31653
125,0,0,0.1927
126,0,0,0.029765
127,0,0,0.055298
128,1,0,0.062935
129,0,0,0.048238
130,0,0,0.053987
131,0,0,0.10616
132,0,0,0.034532
133,1,0,0.012901
134,0,0,0.033329
135,0,0,0.3366
136,0,0,0.095441
137,0,0,0.047983
138,1,0,0.042557
139,0,0,0.57805
140,0,0,0.071448
141,0,0,0.62766
142,1,0,0.085864
143,0,0,0.068963
144,0,0,0.072885
145,0,0,0.14273
146,0,0,0.11944
