is_com,coherence,hand_IT
1,0,0,0.81386
2,0,0,0.9783
3,0,0,0.94908
4,1,0,0.99082
5,0,0,0.96912
6,0,0,0.97913
7,0,0,0.53339
8,0,0,0.66945
9,0,0,0.98331
10,0,0,0.88648
11,0,0,0.42321
12,0,0,0.98247
13,0,0,0.43322
14,0,0,0.42154
15,0,0,0.69699
16,0,0,0.97245
17,0,0,0.97329
18,0,0,0.70952
19,0,0,0.6227
20,0,0,0.97663
21,0,0,0.96912
22,0,0,0.76294
23,0,0,0.88898
24,0,0,0.59933
25,0,0,0.94992
26,0,0,0.89566
27,0,0,0.76377
28,0,0,0.61185
29,0,0,0.56594
30,0,0,0.71536
31,0,0,0.64023
32,0,0,0.71369
33,0,0,0.43907
34,0,0,0.98497
35,0,0,0.63773
36,1,0,0.98247
37,0,0,0.95576
38,0,0,0.89065
39,0,0,0.88481
40,1,0,0.98581
41,0,0,0.96745
42,0,0,0.87062
43,0,0,0.97245
44,0,0,0.96995
45,0,0,0.96494
46,0,0,0.97078
47,0,0,0.96995
48,0,0,0.98497
49,0,0,0.76795
50,0,0,0.69616
51,0,0,0.95993
52,0,0,0.44491
53,0,0,0.75626
54,0,0,0.97412
55,0,0,0.97162
56,0,0,0.50668
57,0,0,0.8414
58,0,0,0.61853
59,0,0,0.97078
60,0,0,0.82387
61,0,0,0.98664
62,0,0,0.96661
63,0,0,0.97329
64,0,0,0.81052
65,0,0,0.88648
66,0,0,0.58013
67,0,0,0.98581
68,1,0,0.9808
69,0,0,0.98581
70,0,0,0.79299
71,0,0,0.96995
72,0,0,0.98331
73,0,0,0.97162
74,0,0,0.76711
75,0,0,0.84558
76,0,0,0.8005
77,0,0,0.98331
78,0,0,0.96912
79,0,0,0.97245
80,0,0,0.78881
81,0,0,0.97579
82,0,0,0.85058
83,0,0,0.96411
84,0,0,0.96327
85,0,0,0.90902
86,0,0,0.97579
87,0,0,0.93322
88,0,0,0.67112
89,0,0,0.98164
90,0,0,0.98497
91,0,0,0.96912
92,0,0,0.98331
93,0,0,0.97579
94,0,0,0.97913
95,0,0,0.77045
96,0,0,0.58681
97,0,0,0.83806
98,0,0,0.64691
99,0,0,0.90234
100,0,0,0.96828
101,0,0,0.97997
102,0,0,0.97663
103,0,0,0.65275
104,0,0,0.98581
105,0,0,0.70117
106,0,0,0.98164
107,0,0,0.96828
108,0,0,0.90401
109,0,0,0.9399
110,0,0,0.63189
111,0,0,0.75793
112,0,0,0.81553
113,0,0,0.81886
114,0,0,0.98497
115,0,0,0.59098
116,0,0,0.97663
117,0,0,0.81469
118,0,0,0.57429
119,0,0,0.96494
120,0,0,0.9808
121,0,0,0.92738
122,0,0,0.97245
123,0,0,0.98331
124,0,0,0.96745
125,0,0,0.81553
126,0,0,0.97997
127,0,0,0.80968
128,0,0,0.99249
129,0,0,0.99583
130,0,0,0.98748
131,0,0,0.96745
132,0,0,0.92905
133,0,0,0.9207
134,0,0,0.83139
135,0,0,0.98831
136,0,0,0.8222
137,0,0,0.97496
138,0,0,0.77129
139,0,0,0.94407
140,0,0,0.9783
141,0,0,0.74457
142,0,0,0.93072
143,0,0,0.91235
144,0,0,0.97663
145,0,0,0.68364
146,0,0,0.97913
147,0,0,0.98247
148,0,0,0.86561
149,0,0,0.97746
150,0,0,0.7788
151,0,0,0.80217
152,0,0,0.96661
153,0,0,0.86144
154,0,0,0.80551
155,0,0,0.59098
156,0,0,0.98164
157,0,0,0.97496
158,0,0,0.98581
159,0,0,0.97412
160,0,0,0.78548
161,0,0,0.6586
162,0,0,0.88648
163,0,0,0.80467
164,0,0,0.61018
165,0,0,0.93573
166,0,0,0.80634
167,0,0,0.97329
168,0,0,0.97997
169,0,0,0.73456
170,0,0,0.98581
171,0,0,0.74791
172,0,0,0.96661
173,0,0,0.90568
174,0,0,0.96745
175,0,0,0.98164
176,0,0,0.97245
177,0,0,0.47245
178,1,0,0.97913
179,0,0,0.97997
180,0,0,0.96578
181,0,0,0.66778
182,0,0,0.97245
183,0,0,0.79048
184,0,0,0.601
185,0,0,0.80384
186,0,0,0.97496
187,0,0,0.97913
188,1,0,0.98414
189,0,0,0.90234
190,0,0,0.82721
191,0,0,0.98831
192,0,0,0.98497
193,0,0,0.67696
194,0,0,0.67446
195,0,0,0.59933
196,0,0,0.41402
197,0,0,0.9783
198,0,0,0.85392
199,0,0,0.67613
200,0,0,0.92905
201,0,0,0.68364
202,0,0,0.9783
203,0,0,0.9783
204,0,0,0.9808
205,1,0,0.98831
206,0,0,0.48497
207,0,0,0.9808
208,0,0,0.60267
209,0,0,0.72788
210,0,0,0.9783
211,0,0,0.55342
212,0,0,0.99249
213,0,0,0.96912
214,0,0,0.88815
215,1,0,0.9783
216,0,0,0.8222
217,0,0,0.97746
218,0,0,0.97746
219,0,0,0.95659
220,0,0,0.78798
221,0,0,0.4783
222,0,0,0.97997
223,0,0,0.97329
224,0,0,0.48748
225,0,0,0.46661
226,0,0,0.89482
227,0,0,0.9808
228,0,0,0.9374
229,0,0,0.98414
230,0,0,0.97412
231,1,0,0.98331
232,0,0,0.97245
233,0,0,0.6227
234,1,0,0.97997
235,0,0,0.96828
236,0,0,0.96995
237,0,0,0.96912
238,0,0,0.97913
239,0,0,0.65693
240,0,0,0.97997
241,0,0,0.97162
242,0,0,0.97997
243,0,0,0.94157
244,0,0,0.97579
245,0,0,0.98247
246,0,0,0.96661
247,0,0,0.74457
248,0,0,0.80551
249,0,0,0.96828
250,0,0,0.87896
251,0,0,0.96327
252,0,0,0.96494
253,0,0,0.79549
254,0,0,0.98247
255,0,0,0.73623
256,0,0,0.97913
257,0,0,0.9783
258,0,0,0.899
259,0,0,0.98497
260,0,0,0.97746
261,0,0,0.85225
262,0,0,0.97579
263,0,0,0.98998
264,0,0,0.71035
265,1,0,0.9808
266,0,0,0.98581
267,0,0,0.94157
268,0,0,0.97746
269,0,0,0.80551
270,0,0,0.97329
271,0,0,0.98247
272,0,0,0.97746
273,0,0,0.92905
274,0,0,0.85058
275,0,0,0.40985
276,0,0,0.79382
277,0,0,0.9399
278,0,0,0.98664
279,0,0,0.97412
280,0,0,0.67028
281,0,0,0.97913
282,0,0,0.9783
283,0,0,0.98831
284,0,0,0.90401
285,0,0,0.97496
286,0,0,0.97329
287,0,0,0.97162
288,0,0,0.78297
289,0,0,0.99082
290,0,0,0.3581
291,0,0,0.87229
292,0,0,0.45326
293,0,0,0.84725
294,0,0,0.7621
295,0,0,0.63856
296,0,0,0.98164
297,0,0,0.4783
298,0,0,0.95242
299,0,0,0.72371
300,0,0,0.72287
301,0,0,0.55593
302,0,0,0.98998
303,0,0,0.97412
304,0,0,0.80968
305,0,0,0.61436
306,0,0,0.58097
307,0,0,0.97245
308,0,0,0.98414
309,0,0,0.71119
310,0,0,0.97579
311,0,0,0.66444
