is_com,coherence,uncertainty
1,0,0,0
2,0,0,0.48412
3,0,0,0
4,1,0,0.68912
5,0,0,0.21583
6,0,0,0.54328
7,0,0,0
8,0,0,0
9,0,0,0.514
10,0,0,0
11,0,0,0
12,0,0,0.59176
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0.32785
17,0,0,0.37064
18,0,0,0
19,0,0,0
20,0,0,0.41044
21,0,0,0.26008
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0.62999
35,0,0,0
36,1,0,0.572
37,0,0,0
38,0,0,0
39,0,0,0
40,1,0,0.63383
41,0,0,0.16879
42,0,0,0
43,0,0,0.29543
44,0,0,0.23559
45,0,0,0.14361
46,0,0,0.25672
47,0,0,0.23191
48,0,0,0.80574
49,0,0,0
50,0,0,0
51,0,0,0.037594
52,0,0,0
53,0,0,0
54,0,0,0.39757
55,0,0,0.27036
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0.23832
60,0,0,0
61,0,0,0.67777
62,0,0,0.17931
63,0,0,0.25909
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0.58494
68,1,0,0.53989
69,0,0,0.66819
70,0,0,0
71,0,0,0.23094
72,0,0,0.55825
73,0,0,0.25644
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0.58716
78,0,0,0.19356
79,0,0,0.27397
80,0,0,0
81,0,0,0.3588
82,0,0,0
83,0,0,0.10459
84,0,0,0.094624
85,0,0,0
86,0,0,0.40458
87,0,0,0
88,0,0,0
89,0,0,0.42313
90,0,0,0.72455
91,0,0,0.23155
92,0,0,0.5912
93,0,0,0.37801
94,0,0,0.46618
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0.2121
101,0,0,0.49097
102,0,0,0.31969
103,0,0,0
104,0,0,0.65789
105,0,0,0
106,0,0,0.66729
107,0,0,0.14645
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0.65325
115,0,0,0
116,0,0,0.45173
117,0,0,0
118,0,0,0
119,0,0,0.12846
120,0,0,0.55777
121,0,0,0
122,0,0,0.27998
123,0,0,0.47729
124,0,0,0.16816
125,0,0,0
126,0,0,0.41085
127,0,0,0
128,0,0,0.66905
129,0,0,0.81729
130,0,0,0.75147
131,0,0,0.20099
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0.69773
136,0,0,0
137,0,0,0.42179
138,0,0,0
139,0,0,0
140,0,0,0.51392
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0.29994
145,0,0,0
146,0,0,0.48431
147,0,0,0.49205
148,0,0,0
149,0,0,0.37131
150,0,0,0
151,0,0,0
152,0,0,0.17921
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0.44037
157,0,0,0.35803
158,0,0,0.53698
159,0,0,0.35409
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0.27897
168,0,0,0.43811
169,0,0,0
170,0,0,0.72168
171,0,0,0
172,0,0,0.19453
173,0,0,0
174,0,0,0.2143
175,0,0,0.56691
176,0,0,0.3075
177,0,0,0
178,1,0,0.44509
179,0,0,0.49281
180,0,0,0.17208
181,0,0,0
182,0,0,0.32213
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0.27923
187,0,0,0.44572
188,1,0,0.55071
189,0,0,0
190,0,0,0
191,0,0,0.66676
192,0,0,0.54034
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0.46474
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0.39517
203,0,0,0.39402
204,0,0,0.63654
205,1,0,0.65859
206,0,0,0
207,0,0,0.46649
208,0,0,0
209,0,0,0
210,0,0,0.4367
211,0,0,0
212,0,0,0.78806
213,0,0,0.22488
214,0,0,0
215,1,0,0.42839
216,0,0,0
217,0,0,0.47469
218,0,0,0.47911
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0.46524
223,0,0,0.26751
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0.46206
228,0,0,0
229,0,0,0.59361
230,0,0,0.41479
231,1,0,0.51347
232,0,0,0.24051
233,0,0,0
234,1,0,0.48453
235,0,0,0.25098
236,0,0,0.23529
237,0,0,0.20113
238,0,0,0.54052
239,0,0,0
240,0,0,0.55262
241,0,0,0.27018
242,0,0,0.47463
243,0,0,0
244,0,0,0.33474
245,0,0,0.46328
246,0,0,0.17508
247,0,0,0
248,0,0,0
249,0,0,0.22159
250,0,0,0
251,0,0,0.10011
252,0,0,0.091158
253,0,0,0
254,0,0,0.52827
255,0,0,0
256,0,0,0.49315
257,0,0,0.45696
258,0,0,0
259,0,0,0.66566
260,0,0,0.46319
261,0,0,0
262,0,0,0.34976
263,0,0,0.65942
264,0,0,0
265,1,0,0.59927
266,0,0,0.68238
267,0,0,0
268,0,0,0.40499
269,0,0,0
270,0,0,0.33071
271,0,0,0.57377
272,0,0,0.35721
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0.62418
279,0,0,0.29591
280,0,0,0
281,0,0,0.41044
282,0,0,0.42123
283,0,0,0.66129
284,0,0,0
285,0,0,0.33345
286,0,0,0.31214
287,0,0,0.27219
288,0,0,0
289,0,0,0.81586
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0.73353
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0.70255
303,0,0,0.34533
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0.28712
308,0,0,0.60833
309,0,0,0
310,0,0,0.36097
311,0,0,0
312,0,0,0
313,0,0,0.24487
314,0,0,0
315,0,0,0
316,0,0,0.53845
317,0,0,0.76522
318,0,0,0
319,0,0,0.19372
320,0,0,0
321,0,0,0.37352
322,0,0,0.17579
323,0,0,0.36707
324,0,0,0
325,0,0,0.30752
326,0,0,0.44569
327,0,0,0.14566
328,0,0,0
329,0,0,0.28294
330,0,0,0
331,0,0,0.51051
332,0,0,0
333,0,0,0
334,0,0,0.43446
335,0,0,0.63291
336,0,0,0
337,0,0,0
338,0,0,0.27226
339,0,0,0
340,0,0,0
341,0,0,0.73814
342,0,0,0
343,0,0,0
344,0,0,0.096624
345,0,0,0
346,0,0,0.39421
347,0,0,0
348,0,0,0.34596
349,0,0,0.47177
350,0,0,0.29504
351,0,0,0.69046
352,0,0,0.73491
353,0,0,0.36475
354,0,0,0
355,0,0,0.46179
356,0,0,0.43767
357,0,0,0.32625
358,0,0,0.40341
359,0,0,0.52601
360,0,0,0.22189
361,0,0,0
362,0,0,0.16523
363,0,0,0.18187
364,0,0,0.43567
365,0,0,0
366,0,0,0.47368
367,0,0,0.45538
368,0,0,0.45844
369,0,0,0
370,0,0,0.49245
371,0,0,0
372,0,0,0.6361
373,0,0,0.31176
374,0,0,0
375,0,0,0
376,0,0,0.42959
377,0,0,0
378,0,0,0
379,0,0,0.43845
380,0,0,0
381,0,0,0
382,0,0,0
383,0,0,0
384,0,0,0.64726
385,0,0,0.60651
386,0,0,0
387,0,0,0.20172
388,0,0,0.42162
389,0,0,0.57239
390,1,0,0.52881
391,0,0,0.73878
392,0,0,0
393,0,0,0.37687
394,0,0,0
395,0,0,0
396,0,0,0.59537
397,0,0,0.5865
398,0,0,0.17537
399,0,0,0
400,0,0,0.2014
401,0,0,0
402,0,0,0.49299
403,0,0,0
404,0,0,0
405,0,0,0.69051
406,0,0,0.50364
407,0,0,0
408,0,0,0
409,0,0,0.03684
410,0,0,0
411,0,0,0
412,0,0,0
413,0,0,0.26995
414,0,0,0.37896
415,0,0,0
416,1,0,0.57607
417,0,0,0
418,0,0,0.3788
419,0,0,0.10922
420,0,0,0.55795
421,0,0,0
422,0,0,0
423,0,0,0
424,0,0,0.73581
425,0,0,0.41503
426,0,0,0
427,0,0,0
428,1,0,0.501
429,0,0,0.56994
430,0,0,0.35229
431,0,0,0
432,1,0,0.48238
433,0,0,0.33022
434,0,0,0.42037
435,0,0,0
436,0,0,0.39959
437,0,0,0
438,0,0,0
439,1,0,0.49398
440,0,0,0.49422
441,0,0,0
442,0,0,0
443,0,0,0
444,0,0,0
445,0,0,0.39546
446,0,0,0
447,0,0,0.3588
448,0,0,0
449,0,0,0
450,0,0,0.38904
451,1,0,0.60798
452,0,0,0.12066
453,0,0,0
454,0,0,0
455,0,0,0.64006
456,0,0,0
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0.35111
462,0,0,0
463,0,0,0.034041
464,0,0,0
465,0,0,0.12198
466,0,0,0.26139
467,0,0,0
468,0,0,0
469,0,0,0.18925
470,0,0,0.84667
471,0,0,0.18047
472,0,0,0.55145
473,0,0,0
474,0,0,0.50555
475,0,0,0.47978
476,0,0,0
477,0,0,0
478,0,0,0.82247
479,0,0,0.46575
480,0,0,0
481,0,0,0
482,0,0,0.29615
483,0,0,0
484,0,0,0.37039
485,0,0,0
486,0,0,0
487,0,0,0.40822
488,0,0,0.49101
489,0,0,0
490,0,0,0.7027
491,0,0,0
492,0,0,0.28326
493,0,0,0
494,0,0,0
495,0,0,0
496,0,0,0.43283
497,0,0,0
498,0,0,0
499,0,0,0
500,0,0,0.75642
501,0,0,0
502,0,0,0
503,0,0,0.32757
504,0,0,0.67592
505,0,0,0
506,0,0,0.059861
507,0,0,0
508,0,0,0
509,0,0,0.14064
510,0,0,0.59292
511,0,0,0
512,0,0,0.40128
513,0,0,0
514,0,0,0
515,0,0,0.72585
516,0,0,0
517,0,0,0
518,0,0,0.5855
519,0,0,0.39022
520,0,0,0
521,0,0,0
522,0,0,0
523,0,0,0.6725
524,0,0,0
525,0,0,0
526,0,0,0.43309
527,0,0,0
528,0,0,0.18774
529,0,0,0
530,0,0,0
531,0,0,0.62075
532,0,0,0.36432
533,0,0,0
534,0,0,0
535,0,0,0.51412
536,0,0,0.27755
537,0,0,0
538,0,0,0.26115
539,0,0,0.60739
540,0,0,0
541,0,0,0
542,0,0,0
543,0,0,0
544,0,0,0
545,0,0,0.15213
546,0,0,0.4824
547,0,0,0
548,1,0,0.51755
549,0,0,0.33291
550,0,0,0.60643
551,0,0,0.59452
552,0,0,0.4138
553,0,0,0.34072
554,0,0,0.43983
555,0,0,0
556,0,0,0.45393
557,0,0,0.18088
558,0,0,0
559,0,0,0
560,0,0,0
561,0,0,0
562,0,0,0.43662
563,0,0,0.19394
564,0,0,0.19315
565,0,0,0
566,0,0,0.12267
567,0,0,0.39272
568,0,0,0
569,0,0,0
570,0,0,0.39262
571,0,0,0
572,0,0,0.37696
573,0,0,0.73725
574,0,0,0.4288
575,0,0,0
576,0,0,0.56092
577,0,0,0
578,0,0,0
579,0,0,0.11677
580,0,0,0.7367
581,0,0,0
582,0,0,0.4449
583,1,0,0.5422
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0.1117
589,0,0,0.78263
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0.55259
595,0,0,0.55162
596,0,0,0.56528
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0.57545
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0.25632
608,0,0,0.31855
609,0,0,0
610,0,0,0
611,0,0,0
612,0,0,0.10943
613,0,0,0.29478
614,0,0,0.71359
615,0,0,0
616,0,0,0
617,0,0,0
618,0,0,0
619,0,0,0.55858
620,0,0,0.25169
621,0,0,0
622,0,0,0.096986
623,0,0,0
624,0,0,0.36547
625,0,0,0
626,0,0,0
627,0,0,0.76441
628,1,0,0.47562
629,0,0,0.3931
630,0,0,0.40224
631,0,0,0.66834
632,0,0,0.32038
633,0,0,0
634,0,0,0.24062
635,0,0,0.34804
636,0,0,0.32488
637,0,0,0
638,0,0,0
639,0,0,0.28132
640,0,0,0
641,0,0,0.44336
642,0,0,0.25757
643,0,0,0.37653
644,0,0,0.80062
645,0,0,0
646,0,0,0
647,0,0,0
648,0,0,0
649,0,0,0.29524
650,0,0,0.094803
651,0,0,0
652,0,0,0
653,0,0,0.37688
654,0,0,0
655,1,0,0.51971
656,0,0,0
657,0,0,0
658,0,0,0
659,0,0,0.67835
660,0,0,0
661,0,0,0.51108
662,0,0,0.62757
663,0,0,0.28106
664,0,0,0
665,0,0,0
666,0,0,0.22041
667,0,0,0.37004
668,0,0,0.48016
669,0,0,0
670,0,0,0.39401
671,0,0,0.54334
672,0,0,0
673,0,0,0
674,0,0,0.68128
675,0,0,0.43255
676,0,0,0.45378
677,0,0,0
678,0,0,0.38925
679,0,0,0.35826
680,0,0,0
681,0,0,0.335
682,0,0,0
683,0,0,0
684,0,0,0.30933
685,0,0,0.21528
686,0,0,0
687,0,0,0.37602
688,0,0,0
689,0,0,0
690,0,0,0.64308
691,0,0,0.34493
692,0,0,0
693,0,0,0
694,0,0,0
695,0,0,0.19436
696,0,0,0.40662
697,0,0,0
698,0,0,0.6021
699,0,0,0
700,0,0,0.57841
701,0,0,0
702,0,0,0.45092
703,1,0,0.39437
704,0,0,0.33855
705,0,0,0.3927
706,0,0,0
707,0,0,0.32793
708,0,0,0
709,0,0,0
710,0,0,0
711,0,0,0.69341
712,0,0,0.41949
713,0,0,0
714,0,0,0
715,0,0,0
716,0,0,0.37731
717,0,0,0
718,0,0,0.53462
719,0,0,0
720,0,0,0
721,0,0,0
722,0,0,0
723,0,0,0
724,0,0,0.59271
725,0,0,0
726,0,0,0
727,0,0,0
728,0,0,0.63183
729,0,0,0.35512
730,0,0,0
731,0,0,0.46516
732,0,0,0
733,0,0,0
734,0,0,0
735,0,0,0.61896
736,0,0,0
737,0,0,0.84446
738,0,0,0.75627
739,0,0,0.43963
740,0,0,0.31614
741,0,0,0.72128
742,0,0,0
743,0,0,0.52578
744,1,0,0.43722
745,0,0,0.75573
746,0,0,0.35868
747,0,0,0.15246
748,0,0,0.36547
749,0,0,0.10308
750,0,0,0
751,0,0,0.58203
752,0,0,0
753,0,0,0
754,0,0,0.30733
755,0,0,0
756,0,0,0.4771
757,0,0,0
758,0,0,0.35314
759,0,0,0.43808
760,0,0,0
761,0,0,0.58878
762,0,0,0
763,0,0,0.3022
764,0,0,0.6134
765,0,0,0.76168
766,0,0,0.31694
767,0,0,0.34428
768,0,0,0
769,0,0,0.23341
770,0,0,0.35773
771,0,0,0.38306
772,0,0,0
773,0,0,0.55537
774,0,0,0.13756
775,1,0,0.67588
776,0,0,0.35849
777,0,0,0
778,0,0,0
779,0,0,0
780,1,0,0.41564
781,0,0,0.051127
782,0,0,0
783,0,0,0.72596
784,0,0,0
785,0,0,0
786,0,0,0.45072
787,0,0,0
788,0,0,0.42666
789,0,0,0.79504
790,0,0,0
791,0,0,0
792,0,0,0
793,0,0,0.55765
794,0,0,0
795,0,0,0
796,0,0,0
797,0,0,0.51743
798,0,0,0.52833
799,0,0,0.20991
800,0,0,0.40579
801,1,0,0.64389
802,0,0,0
803,0,0,0
804,0,0,0
805,0,0,0.58461
806,0,0,0.31479
807,0,0,0
808,0,0,0
809,0,0,0.52968
810,0,0,0
811,0,0,0.25922
812,0,0,0.34229
813,0,0,0
814,0,0,0.4952
815,0,0,0
816,0,0,0
817,0,0,0
818,0,0,0
819,0,0,0
820,0,0,0
821,0,0,0.47443
822,0,0,0
823,0,0,0
824,0,0,0
825,0,0,0
826,0,0,0.28484
827,0,0,0
828,0,0,0.35418
829,0,0,0.65782
830,0,0,0
831,0,0,0.4372
832,0,0,0
833,0,0,0
834,0,0,0.43624
835,0,0,0
836,0,0,0.38734
837,0,0,0.37312
838,0,0,0.33907
839,0,0,0.35158
840,0,0,0.15977
841,0,0,0
842,0,0,0.31473
843,0,0,0.34121
844,0,0,0.17575
845,0,0,0
846,0,0,0
847,0,0,0
848,0,0,0
849,0,0,0.38373
850,0,0,0
851,0,0,0
852,0,0,0.61277
853,0,0,0
854,0,0,0.49102
855,0,0,0
856,0,0,0.37234
857,0,0,0
858,0,0,0
859,0,0,0
860,0,0,0
861,0,0,0
862,0,0,0
863,0,0,0
864,0,0,0
865,0,0,0.47662
866,0,0,0
867,0,0,0.77414
868,0,0,0
869,0,0,0
870,0,0,0.36785
871,0,0,0.6698
872,0,0,0
873,0,0,0
874,0,0,0
875,0,0,0
876,0,0,0.35279
877,0,0,0.64198
878,0,0,0.58502
879,1,0,0.47747
880,0,0,0.35893
881,0,0,0
882,0,0,0
883,0,0,0
884,0,0,0.39587
885,0,0,0.13004
886,0,0,0.39588
887,0,0,0.54243
888,0,0,0.59812
889,0,0,0
890,0,0,0
891,0,0,0
892,1,0,0.35879
893,1,0,0.4814
894,0,0,0.21288
895,1,0,0.57125
896,0,0,0
897,0,0,0.53346
898,0,0,0.65424
899,0,0,0
900,0,0,0
901,1,0,0.56538
902,0,0,0
903,0,0,0.70695
904,0,0,0.26823
905,0,0,0.57595
906,0,0,0
907,0,0,0
908,0,0,0
909,0,0,0
910,0,0,0.41128
911,0,0,0
912,0,0,0.35722
913,0,0,0
914,0,0,0
915,0,0,0
916,0,0,0
917,0,0,0.3403
918,0,0,0.36848
919,0,0,0
920,0,0,0.087947
921,0,0,0.65789
922,0,0,0
923,0,0,0
924,0,0,0
925,0,0,0.87538
926,0,0,0
927,0,0,0
928,0,0,0
929,0,0,0
930,0,0,0.42219
931,0,0,0
932,0,0,0
933,1,0,0.41275
934,0,0,0.09305
935,0,0,0.50935
936,0,0,0.24711
937,0,0,0.077735
938,0,0,0.43313
939,0,0,0
940,0,0,0.25468
941,0,0,0
942,0,0,0
943,0,0,0.36333
944,0,0,0
945,0,0,0
946,1,0,0.5684
947,1,0,0.61984
948,0,0,0.34081
949,0,0,0
950,0,0,0
951,0,0,0
952,0,0,0
953,0,0,0.56998
954,0,0,0
955,0,0,0
956,0,0,0.1216
957,0,0,0
958,0,0,0
959,0,0,0
960,0,0,0.22915
961,0,0,0
962,0,0,0.5333
963,0,0,0
964,0,0,0
965,0,0,0.58184
966,0,0,0
967,0,0,0
968,0,0,0.26865
969,0,0,0
970,0,0,0
971,0,0,0
972,0,0,0
973,0,0,0.30033
974,0,0,0.46719
975,0,0,0
976,0,0,0
977,0,0,0.13158
978,0,0,0.21427
979,0,0,0
980,0,0,0.42027
981,0,0,0
982,0,0,0
983,0,0,0
984,0,0,0
985,0,0,0
986,0,0,0.58305
987,1,0,0.50897
988,0,0,0
989,0,0,0.30263
990,0,0,0.553
991,0,0,0.61108
992,0,0,0
993,1,0,0.66957
994,0,0,0.50275
995,0,0,0
996,0,0,0
997,0,0,0.60231
998,0,0,0.56796
999,0,0,0
1000,0,0,0.24349
1001,0,0,0
1002,0,0,0
1003,0,0,0
1004,0,0,0
1005,0,0,0.19949
1006,0,0,0.36174
1007,0,0,0
1008,1,0,0.64279
1009,0,0,0.17595
1010,0,0,0.46801
1011,0,0,0.38727
1012,0,0,0.21684
1013,0,0,0.26313
1014,0,0,0
1015,1,0,0.42265
1016,0,0,0
1017,0,0,0.65479
1018,0,0,0.56162
1019,0,0,0
1020,0,0,0
1021,0,0,0
1022,1,0,0.61916
