y_1_25,y_2_25,y_5_25,y_6_25,y_mc_hu_25,y_1,y_2,y_5,y_6,y_mc_hu
2.443,2.4424,0,0,0,2.3688,2.44,0,0,0
2.3546,2.3504,0,0,0,2.298,2.3464,0,0,0
2.2998,2.2879,0,0,0,2.2517,2.2889,0,0,0
2.2588,2.2437,0,0,0,2.1875,2.2748,0,0,0
2.2376,2.235,0,0,0,2.1867,2.274,0,0,0
2.234,2.2297,0,0,0,2.1671,2.2438,0,0,0
2.2229,2.2364,0,0,0,2.1452,2.2687,0,0,0
2.2229,2.2294,0,0,0,2.1528,2.2518,0,0,0
2.2163,2.2417,0,0,0,2.1666,2.2488,0,0,0
2.213,2.2319,0,0,0,2.1558,2.2613,0,0,0
2.2017,2.2139,0,0,0,2.1691,2.2685,0,0,0
2.1963,2.2066,0,0,0,2.1808,2.2448,0,0,0
2.2092,2.2242,0,0,0,2.1716,2.2496,0,0,0
2.2106,2.2264,0,0,0,2.1735,2.2459,0,0,0
2.222,2.2212,0,0,0,2.1498,2.2544,0,0,0
2.2164,2.2152,0,0,0,2.1584,2.2426,0,0,0
2.2071,2.2295,0,0,0,2.1652,2.2508,0,0,0
2.2454,2.2291,0,0,0,2.1781,2.2712,0,0,0
2.2405,2.2475,0,0,0,2.1708,2.2537,0,0,0
2.2142,2.2371,0,0,0,2.1841,2.2712,0,0,0
2.2099,2.2126,0,0,0,2.1724,2.2692,0,0,0
2.2212,2.2284,0,0,0,2.1688,2.2487,0,0,0
2.2274,2.2271,0,0,0,2.1861,2.2353,0,0,0
2.2422,2.2372,0,0,0,2.1808,2.2423,0,0,0
2.2538,2.2393,0,0,0,2.2006,2.2523,0,0,0
2.2326,2.2562,0,0,0,2.1916,2.2404,0,0,0
2.2389,2.2374,0,0,0,2.2357,2.2331,0,0,0
2.2236,2.2414,0,0,0,2.2225,2.2422,0,0,0
2.2182,2.2318,0,0,0,2.2298,2.2707,0,0,0
2.2042,2.2197,0,0,0,2.2299,2.2673,0,0,0
2.2094,2.2389,0,0,0,2.2153,2.2769,0,0,0
2.2144,2.2437,0,0,0,2.2005,2.2821,0,0,0
2.2332,2.2733,0,0,0,2.205,2.3168,0,0,0
2.2373,2.2668,0,0,0,2.2302,2.3082,0,0,0
2.2334,2.2628,0,0,0,2.2313,2.2914,0,0,0
2.2338,2.2708,0,0,0,2.23,2.3065,0,0,0
2.2528,2.2636,0,0,0,2.2192,2.2931,0,0,0
2.2443,2.2493,0,0,0,2.1891,2.2824,0,0,0
2.2476,2.2274,0,0,0,2.2052,2.2626,0,0,0
2.2375,2.2291,0,0,0,2.2122,2.242,0,0,0
2.2156,2.234,0,0,0,2.2129,2.2491,0,0,0
